comment,contentposprob,contentnegprob,contentconfi,contentsenti
"('一帮人学校出事的时候没有一个人是站出来的出事以后各种哎呀不要舆论治国相信国家相信党真笑死了官官相护即使不多但也不是没有大部分人也只是好心再说了学校前期的操作确实很迷不是吗',)",0.00478343,0.995217,0.98937,0
"('你确定你是在七点之前立马拨打的120我不信你给我看监控',)",0.0051635,0.994836,0.988525,0
"('这几天一直在各大平台维护你们的声誉因为我的同学49中毕业生)和我陈述过49中的好现在结果出来也很欣慰希望贵校学子顶住压力高考加油',)",0.997579,0.00242145,0.994619,2
"('无脑跟风者会道歉吗',)",0.00452745,0.995473,0.989939,0
"('我来道歉了长记性了对不起',)",0.00741169,0.992588,0.98353,0
"('被你们某位高干推下去的吧',)",0.00636801,0.993632,0.985849,0
"('娃娃养那么大为人父母都能理解确实痛心唉好好奇是啥子原因不过既然公安机关都介入了我等屁民只有坐等后续通报咯',)",0.0022535,0.997746,0.994992,0
"('那些道歉的如果这个是你的母校呢你看的下去吗',)",0.0357524,0.964248,0.92055,0
"('真相终于大白了我们学校很好学弟学妹们高考加油四十九中一定会再创辉煌',)",0.998903,0.0010966,0.997563,2
"('欠你一句道歉对不起',)",1.47044e-05,0.999985,0.999967,0
"('道歉很多时候是没用的一句道歉也不会让学校老师领导学生从这件事的网络暴力阴影中走出来毕竟被造谣的不是你',)",0.000137171,0.999863,0.999695,0
"('我也说一句抱歉吧只希望下次出事不要再藏着掖着了真的跟自己无关就心胸坦荡一点否则很容易被一些不理智的人误会甚至是带跑偏质疑',)",0.000586546,0.999413,0.998697,0
"('祝贵校2021高考大捷',)",0.604556,0.395444,0.121235,2
"('学校太难了',)",0.658844,0.341156,0.241876,2
"('统一热评观猴啦',)",0.935859,0.064141,0.857465,2
"('学校留着这些评论就是为了真相出来的这天啪啪打你们的脸',)",0.000875312,0.999125,0.998055,0
"('背后有什么势力呀是什么狗官还是什么企业狗总给你们撑腰呀亦或是哪家的公子哥犯得事坠楼骗鬼呢是谁故意推的吧',)",9.88231e-05,0.999901,0.99978,0
"('怎么删了前几天评论',)",0.000817099,0.999183,0.998184,0
"('对不起哦之前误会了你们了但没骂过狗头保命',)",0.00146489,0.998535,0.996745,0
"('对不起曾经质疑过也误会过贵校',)",0.00271225,0.997288,0.993973,0
"('你在搞什么啊人是怎么摔的原因呢一句话就想把事情都盖过吗',)",0.000368224,0.999632,0.999182,0
"('我为自己当时不明真相错怪学校而道歉对不起49中希望老师和同学能得到心理援助恢复正常生活',)",0.184834,0.815166,0.589257,0
"('这才是人民日报人民日报人民日报人民日报人民日报帮你艾特不用谢',)",0.972234,0.0277658,0.938298,2
"('人民日报紫光阁头条新闻人民日报紫光阁头条新闻人民日报紫光阁头条新闻人民日报紫光阁头条新闻人民日报紫光阁头条新闻人民日报紫光阁头条新闻请官媒监督为什么出事那段监控怎么没了',)",0.0810128,0.918987,0.819971,0
"('为我前两天结合某乎某博各种盲目猜测和没脑子的义愤填膺道个歉',)",0.0176269,0.982373,0.960829,0
"('2021年了我在小说里都没看到过毁尸灭迹能做的如此理直气壮的毁尸没有经过监护人的同意将被监护人直接拉入殡仪馆现在是否火化了尚未可知灭迹监控系统“选择性”丢失数据学校都他妈的能替警察报案了腐败的新中国漂亮',)",8.30033e-05,0.999917,0.999816,0
"('那为啥事发时的监控没有了还不让人家长看孩子尸体有没有点良心',)",0.00230216,0.997698,0.994884,0
"('一定要把造谣者抓出来',)",0.156603,0.843397,0.651994,0
"('对不起虽然没有过过激的言论但是心里也有所质疑对不起对不起对不起',)",0.0013375,0.998662,0.997028,0
"('大型事后诸葛现场好在知错就改以后骂人动动脑子各位网民朋友这次差点动摇国体就因为你们以谣传谣给不法分子可乘之机长点心吧',)",0.00332053,0.996679,0.992621,0
"('真搞笑～现在道歉学校没问题的话就不会有这些乱子孩子摔下去用了多久确定的身份班主任又好巧不巧没带手机合着就班主任一个人能联系上家长～别的老师就没有联系方式～也没群～这孩子家长也不和别的家长来往一群墙头草～哪里有风哪里跑',)",0.000253524,0.999747,0.999437,0
"('看到这个结果是我意料之中的母校我为你自豪',)",0.999712,0.000287657,0.999361,2
"('永远爱49中哟也爱在我高考前一直没有放弃过我的老师们一直鼓励着我祝学校发展越来越好',)",0.999967,3.31754e-05,0.999926,2
"('抱歉了之前误会49中',)",0.106303,0.893697,0.763771,0
"('我辛辛苦苦编辑了一条评论被秒删还不如一句你四了直接',)",0.000226116,0.999774,0.999497,0
"('未经死者家属及直属部门同意火化填埋死者尸体或器官等属于侮辱尸体罪违反刑法望周知望你知',)",0.0010897,0.99891,0.997578,0
"('不用狡辩了校长书记先撤了再说',)",0.37522,0.62478,0.166177,0
"('这些道歉的人真的挺好笑的',)",0.141694,0.858306,0.685125,0
"('为什么不第一时间通知家长为什么不让家长进入学校为什么',)",0.00133088,0.998669,0.997042,0
"('不好意思成都四十九中的老师同学',)",0.930158,0.0698417,0.844796,2
"('一些这个学校毕业的学生或者正在这个学校上学的学生看见一群无凭无据的人对自己的学校和老师进行不堪入目惨不忍睹的人生攻击和职业侮辱他们会作何感想我不是这个学校毕业的但是看热度评论还是看不下去被骂的太惨了',)",0.000304297,0.999696,0.999324,0
"('其实我觉得这次事件给的教训就是这么大的事情不应该寥寥几字说明很容易引起舆论谣言钻空子',)",0.00341781,0.996582,0.992405,0
"('网传监控并无缺失救护及时贵校丝毫不作解释吗事件在大平台上热搜贵校还是毫无回应到底是太不把舆论网民放眼里还是水太深现在对疑点不作解释网友又倒转风头仅凭几句同样谣传而来的‘洗白’一个教育局发的无任何细节的通告无论真相如何我想看的是官方的回应',)",4.13358e-05,0.999959,0.999908,0
"('小心做坏事半夜鬼压床',)",0.0196652,0.980335,0.956299,0
"('共青团中央紫光阁中国政府网国务院公报光明日报国台办发布国务院公报健康中国科技日报联合国强国论坛全国人大人民日报人民网世界卫生组织央视频央视新闻中国新闻社中国政府网中国青年报中国之声快来看看呐',)",0.854049,0.145951,0.675665,2
"('提供了监控但唯独没有事发那一段',)",0.319135,0.680865,0.290811,0
"('肖战扛去的救护车',)",0.780841,0.219159,0.51298,2
"('我估计学校也懵逼了没经历过这种事',)",0.000818066,0.999182,0.998182,0
"('哎亲爱的49啊委屈你了',)",0.00824863,0.991751,0.98167,0
"('真的很不容易难以想象这几天学校师生经历了多大的舆论暴力不过在舆情来到的时候还是有可以提高的空间比如一开始的公告文字表述的有温度一点不像之前那么冰冷我相信也能减轻一部分的影响不过给保护受害的隐私点赞忍辱负重',)",0.886291,0.113709,0.747314,2
"('学校和警方还有政府部门是真的惨',)",0.0428611,0.957139,0.904753,0
"('好家伙你们不准备向49中全体师生道歉吗',)",0.0140386,0.985961,0.968803,0
"('化学老师可能吗老师会做那么蠢的事情为了留学名额杀人既然能把事情盖下来就说明留学名额对于他来说轻而易举不要被官方放出的烟雾弹牵着鼻子走唯一诉求看监控看监控看监控',)",0.00207822,0.997922,0.995382,0
"('逝者母亲的微博都登不上去了如果属实那你们人家给谁看信息化时代别让声明和调查结果成为帮凶等待真相',)",0.00401518,0.995985,0.991077,0
"('等鬼找上门来吧你们',)",0.00655844,0.993442,0.985426,0
"('请尽快给家长一个交代',)",0.0645004,0.9355,0.856666,0
"('人民日报都能艾特错你是有多没文化',)",0.185482,0.814518,0.587818,0
"('你学校门口的八个大字你能看到吗',)",0.21584,0.78416,0.520355,0
"('人民日报您要不要来看看他想艾特您来着艾特错人了',)",0.570051,0.429949,0.0445571,2
"('展开调查第一步先把监控毁掉是人吗欲盖弥彰知道吗',)",0.00159958,0.9984,0.996445,0
"('大家言论都好过激没有证据之前就一直阴谋论',)",0.297927,0.702073,0.337939,0
"('我来道歉了对不起我在不知道真相的情况下就到处喷',)",0.00077849,0.999222,0.99827,0
"('要求公开监控',)",0.209995,0.790005,0.533345,0
"('骂你还踏要关注你这个逼东西你怎么不设置成关注100天以上才能评论啊啥币东西',)",0.000155618,0.999844,0.999654,0
"('在校的其他同学们快跑',)",0.715744,0.284256,0.36832,2
"('欲盖弥彰快点给人家父母一个真相人民日报央视新闻',)",0.0150048,0.984995,0.966656,0
"('对贵校和万老师被误解我深感抱歉',)",0.266063,0.733937,0.408749,0
"('看完评论区我大受震撼当代正义使者不是合理质问“为什么不解释一下漏洞”而是充满恶毒的打下一句句“你们太过分了你们的儿女全家会”不愧是键盘使者有效输出',)",0.0075146,0.992485,0.983301,0
"('对不起曾经质疑甚至误会过你们对不起但是不后悔关注这件事青少年的心理健康建设真的好重要以后要避免悲剧的发生',)",0.000970062,0.99903,0.997844,0
"('好像反转了可以看看那个叫辟谣知真相的微博',)",0.366838,0.633162,0.184804,0
"('央视新闻中央巡视组中国中纪委我们国家的扫黑除恶呢',)",0.0974828,0.902517,0.783372,0
"('你这个学校以后还招的到人吗名声已经臭了你继续捂着还会更臭的不如老老实实承认真相',)",0.000137124,0.999863,0.999695,0
"('高二化学老师的太子是吗',)",0.464197,0.535803,0.28394,1
"('学校的种种行为我只想到了四个字毁尸灭迹',)",0.320639,0.679361,0.28747,0
"('听说孩子是在老师的办公楼跳的楼',)",0.965707,0.0342933,0.923793,2
"('热搜上来了就怕你扛不住好大个烟锅巴踩不歇',)",0.440921,0.559079,0.0201762,0
"('靠你说的什么屁话啊',)",0.000775249,0.999225,0.998277,0
"('你们在隐瞒什么',)",0.00201533,0.997985,0.995521,0
"('虽然我没骂过你但还是差点被带了节奏很抱歉对不起',)",0.00479634,0.995204,0.989341,0
"('来道歉了希望学校能越来越好',)",0.951026,0.0489743,0.891168,2
"('虽然不是这个学校的但是将心比心谁都不能忍受在无凭无据的情况下对自己的学校和老师进行惨无人道惨绝人寰不堪入目的人身攻击和职业侮辱但愿以后这个学校能够恢复如初不在受到社会舆论的影响学生们都能毫无顾忌的上学',)",0.00657994,0.99342,0.985378,0
"('对不起噢之前舆论引导说尸体直接拿去火化了真的是被气到了真相大白了过来道歉',)",0.000328793,0.999671,0.999269,0
"('哇热评前几条还不道歉啊',)",0.0293358,0.970664,0.934809,0
"('我来为自己之前的言论道歉现在的道歉可能不值一文但是能够了解到真相了解到孩子的死因就够了在此郑重的说声对不起',)",0.00525731,0.994743,0.988317,0
"('热评是骂的时间是道歉的',)",0.00439529,0.995605,0.990233,0
"('笑死了一会来道歉的会不会是同一批人',)",0.00807921,0.991921,0.982046,0
"('对不起我当时对你们这里的攻击向你们的管理人员道歉也向老师道歉希望学校的老师能好好注意身体也希望同学们能尽量地少被这些事情影响好好备战考试真的很抱歉',)",0.00549517,0.994505,0.987789,0
"('太善良了吧49中还给林同学妈妈微博点赞',)",0.988558,0.0114423,0.974573,2
"('那孩子做鬼也不会放过你们',)",0.0243788,0.975621,0.945825,0
"('你晚上敢睡觉吗',)",0.0196816,0.980318,0.956263,0
"('你们凭什么不让家长看孩子遗体',)",0.000677545,0.999322,0.998494,0
"('有没有同学可以说出真相可以匿名我相信人性本善',)",0.447165,0.552835,0.00629955,0
"('狗屁不是想问你家长为什么说要进去问问情况看看人你为什么拒之门外你有什么权利为人之母母子连心校方各位领导人也是父母吧你们的孩子出这样事情你的学校领导把你拒之门外还偷着删掉监控录像还说不怕家长闹你们什么心情家长再争取能把儿子命换回来吗你们对得起你们的职业吗',)",1.87659e-06,0.999998,0.999996,0
"('看微博热搜来到这里为人父母请你们多多站在家长的角度去处理事情不要二次伤害',)",0.0313443,0.968656,0.930346,0
"('所以监控呢所以善后就是把家长关在门外你看你的行为和你的言行一致吗公关稿没水平就别发了只会让人想喷你',)",0.000579444,0.999421,0.998712,0
"('公布视频要被问责贵校处理的没毛病然而坠楼者的最后尊严都被逼没了悲哀',)",0.000531187,0.999469,0.99882,0
"('把道歉的赞了一遍对不起',)",0.867794,0.132206,0.70621,2
"('被别有用心的人带偏了',)",0.793049,0.206951,0.540109,2
"('对不起',)",0.00199807,0.998002,0.99556,0
"('错了就是错了我也没什么可辩解的在这里郑重的向成都49中所有人道歉对不起',)",0.112334,0.887666,0.750369,0
"('我为我之前的评论道歉是我太鲁莽了没有得知真相就对您恶意评论实在抱歉',)",0.000647607,0.999352,0.998561,0
"('真恶心现在又来道歉道歉有用的话网络暴力对师生造成的伤害谁负责',)",8.94668e-06,0.999991,0.99998,0
"('这些骂人的快来道歉',)",0.00452721,0.995473,0.98994,0
"('某些人真的是不道歉不行道歉了也不行就是凭着有一双手随便喷呗我道歉不是因为我之前有辱骂学校而是我觉得竟然真相出来了我们就应该尽自己的能力还学校一片净土',)",0.009725,0.990275,0.978389,0
"('学校里的老师没有知情人吗躲在后面还要求学生诚实勇敢正直善良就不怕天下人耻笑吗求真务实至善至美真要亮瞎你们领导的眼',)",0.00446673,0.995533,0.990074,0
"('你晚上睡得着吗孩子会来找你',)",0.306052,0.693948,0.319885,0
"('您不心痛吗人心都是肉长的能睡着吗',)",0.00105984,0.99894,0.997645,0
"('你们学校有不让家长了解全过程的权利吗',)",0.0101376,0.989862,0.977472,0
"('配称学校吗遗体不给看直接扔殡仪馆你有病吗有点教育良心吗',)",0.0012842,0.998716,0.997146,0
"('我以为贪官都被查出来以为坏人都被抓了以为警察都是平民百姓的后盾官大一级压死人',)",0.000170217,0.99983,0.999622,0
"('人在做天在看不是不报时候未到',)",0.0464089,0.953591,0.896869,0
"('学校凭什么没经过家长同意就把遗体拉到殡仪馆你是怎么走的程序',)",0.000907068,0.999093,0.997984,0
"('你凭什么不让家长看看孩子',)",0.00225438,0.997746,0.99499,0
"('既然学校不心虚配合家长配合警方究竟为何我也不想用恶意揣摩学校以及死亡原因还一个真相给家长也不要跟家长说无可奉告了让本就伤的心更加寒心',)",3.20483e-05,0.999968,0.999929,0
"('shab学校',)",0.997461,0.0025386,0.994359,2
"('现在的网友素质真是高了知错就改不约而同的给校方道歉当年富土康也是有工人压力大跳楼',)",0.065428,0.934572,0.854605,0
"('都是跳梁小丑现在公布视频了知道自己多丑了把没想到这么多工具人',)",0.0026283,0.997372,0.994159,0
"('对不起',)",0.00199807,0.998002,0.99556,0
"('没有人道歉吗骂的最凶的那几个竟然没有道歉诅咒老师和领导的孩子死的不明不白的人竟然没有道歉',)",8.86721e-06,0.999991,0.99998,0
"('我为自己在不知全貌的情况下所说出的话感到羞愧即使是在网络上真的很抱歉对不起',)",0.0154951,0.984505,0.965566,0
"('对不起49中的学生老师和领导虽然我没有在网络上发表不当的言论但被舆论左右了理智被那位母亲动摇了想法在这条微博下保证以后网络上的事情绝不站队网暴不会有我',)",0.00136763,0.998632,0.996961,0
"('唉见证了一场网暴',)",0.0315702,0.96843,0.929844,0
"('万一哪天上学上着上着就死了还无人还我公道老说成材报效祖国我感觉都活不到报效祖国那一天',)",0.000767467,0.999233,0.998295,0
"('你他妈搁那扯什么蛋呢救护车开两个小时',)",0.000554891,0.999445,0.998767,0
"('学校拒绝家长进入拒绝提供监控',)",0.041826,0.958174,0.907053,0
"('成都四十九中如何甩锅在线等挺急的',)",0.796326,0.203674,0.547392,2
"('希望监控没坏',)",0.083317,0.916683,0.814851,0
"('希望学校监控列入天网由公安系统管理',)",0.102896,0.897104,0.771342,0
"('应该把应有监控却拒不提供监控的一方直接认定为事故责任方',)",0.00102329,0.998977,0.997726,0
"('四川观察快来观察一下',)",0.934831,0.0651689,0.85518,2
"('感觉现在破案全靠微博了那位妈妈如果不发微博如果没有热搜学校只会继续装死母亲节发生这种事真的对妈妈太残忍了希望妈妈还能见到遗体',)",0.0465589,0.953441,0.896536,0
"('凭什么学校拒绝家长进入学校并不提供监控等信息',)",0.00592552,0.994074,0.986832,0
"('学校真的不是他妈个什么好东西',)",0.006054,0.993946,0.986547,0
"('1840出事立即拨打120结果八点多救护车才到不对吧',)",0.00172944,0.998271,0.996157,0
"('学校遮遮掩掩的干嘛啊真的好难理解如果学校有责任你认为遮遮掩掩能逃掉吗如果学校没有责任那又何必遮遮掩掩',)",0.000550921,0.999449,0.998776,0
"('如果没有监控分析推测孩子死因的唯一办法就是看法医尸检报告了看到这位母亲说类似的新闻平时看过很多未曾想有一天会发生在自己身上其他知道内情的孩子也请勇敢说出真相不要学会沉默',)",0.00167692,0.998323,0.996273,0
"('为什么不能提供监控你在害怕什么你到底是谁是什么让你不给看监控你有何等目的',)",0.000482898,0.999517,0.998927,0
"('滚吧回应热搜这么高人家妈妈申诉的热搜为什么一直压着求你做个人吧',)",0.000467268,0.999533,0.998962,0
"('天呐养到17岁了就这么没了父母天都塌了吧',)",0.00209476,0.997905,0.995345,0
"('顶上热搜只有上了热搜才有人关注',)",0.788145,0.211855,0.529212,2
"('学校不能成为法外之地学校的责任应当承担起来',)",0.0683596,0.93164,0.84809,0
"('原来我和鲁迅一样一直活在人命不比烂提子的可笑年代',)",0.0196183,0.980382,0.956404,0
"('监控永远都是关键时刻坏',)",0.00849414,0.991506,0.981124,0
"('学校拒绝出事学生家长见面太不人道',)",0.00311423,0.996886,0.993079,0
"('学校成法外之地了',)",0.790586,0.209414,0.534635,2
"('现在一个学校都可以成为法外之地吗学校的应急处理程序这么差吗没有人第一时间去安抚家长吗一出事立刻站在家长的对立面吗这是一个孩子含辛茹苦拉扯大的孩子没有了为什么在处理过程中看不到一点点的人性呢教书育人之地连基本的人性都没有了吗',)",0.000234224,0.999766,0.99948,0
"('他们只想着公关考没考虑过家长的心情太冷漠了',)",0.000384432,0.999616,0.999146,0
"('大夏天的看的起鸡皮疙瘩同为母亲希望还原真相',)",0.435096,0.564904,0.0331204,0
"('果然关键时候监控总是坏掉了',)",0.00346351,0.996536,0.992303,0
"('原博热度一直上不去学校回应直接空降热搜榜二',)",0.27331,0.72669,0.392645,0
"('学校如此态度对待出事家长谁给的勇气现在算是知道中国的人权为什么总是被别国说三道四了是有原因的',)",0.000322343,0.999678,0.999284,0
"('640坠楼830救护车到都快两个小时了这还是急救吗为啥9点才通知家长为什么没有第一告知情况学校为什么把家长拒之门外',)",0.000666368,0.999334,0.998519,0
"('让我想到成都大学领导自杀事件结果也是不了了之',)",0.00271863,0.997281,0.993959,0
"('我翻开历史一查这历史没有年代歪歪斜斜的每页上都写着“仁义道德”几个字我横竖睡不着仔细看了半夜才从字缝里看出来满本上都写着两个字“吃人',)",0.0363064,0.963694,0.919319,0
"('那些不发声的学生和家长有一天悲剧就会发生你身上请勇敢站出来',)",0.00493393,0.995066,0.989036,0
"('校长估计急了',)",0.0262929,0.973707,0.941571,0
"('可怜的娃给你的妈妈拖个梦吧告诉她真相虽然知道不可能我也是一个母亲看到这样的新闻甚是心痛',)",6.93895e-05,0.999931,0.999846,0
"('恕我直言最后的通报结果只会告诉你孩子不小心掉下去的更多的内幕你永远只能靠猜测警方到时候一张通告结束本案',)",0.000277569,0.999722,0.999383,0
"('为什么学校拒绝家长进入拒绝提供监控',)",0.0165404,0.98346,0.963244,0
