,评论内容
19,又删我评论那我再来 还有没有法律了？这？@共青团中央 @紫光阁  @中国政府网 @光明日报 @国台办发布 @国务院公报 @健康中国 @科技日报 @联合国   @强国论坛 @全国人大 @人民日报 @人民网 @世界卫生组织 @央视频 @央视新闻 @中国新闻社 @中国政府网 @中国青年报 @中国之声@胡锡进@环球网监控
20,对不起，虽然事件发生时我没有在网上说过贵校，但是我在心里是认为您们的做法存在问题的，现在得知真相后我表以深深的歉意。
21,坠落？
22,快给学校道个歉吧，人家自始至终都是受委屈的，孩子死了老师比你们难过，别死杠了，恶心死我了，非要我唾弃你们的灵魂吗？猜忌的心，无耻的言论，没有判断力的大脑，就一张脸最值钱，道个歉也找不到。
23,这种学校还有人敢去！！？？？
24,有人说官博真有勇气，居然不关闭评论，我说官博就是想对比下当真相出来后这些个骂学校，骂老师的“正义之师”会有多少道歉的，没几个的，他们发觉不符合内心居然都不出声了，或者又喊“我们是被骗了但我们是善良的！”，于是默默退去，等待着下一次舆论并继续当着“正义之师”，继续问着政府呐喊要真相
25,《最 优 质 的 杀 人 学 校 》
26,傻dei，你一个学校有啥事就说，怕啥，敢做就敢当行吗，学校都是一个教人读书做人的地方，你连这点素质都没有，你配吗？人家母亲已经都这样了，就别再让她伤心了可以吗？
27,求真相@共青团中央 @紫光阁  @中国政府网 @国务院公报@光明日报 @国台办发布 @国务院公报 @健康中国 @科技日报 @联合国   @强国论坛 @全国人大 @人民日报 @人民网 @世界卫生组织 @央视频 @央视新闻 @中国新闻社 @中国政府网 @中国青年报 @中国之声@胡锡进@环球网监控
28,作为18年毕业的49中学生，在事情初期结合我在学校与老师相处的6年时光，我并不相信学校会做出这些事情。这几天，我们毕业生们也在针对网上的那些所谓的“证据/事实”阐述我们的观点，但是换来的却是私信的乱骂，更有女生遭到了人生攻击。如今真相大白，不求对我们道歉，但求为学校以及学校老师正名！
29,好惨一学校，好惨一群老师，好惨一群高三学生
30,！！！知行楼是教师办公楼！学校到底是在隐瞒什么！！！跟家长说是楼道 声明又说是高空！别让热度降下来！
31,监控就坏了坠楼那一段真的假的？
32,对不起，来道歉了。前几天应该是被有心人给带节奏了，造成了你们学校“只手遮天”的印象……对不起，希望你们学校越来越好～也要很重视学生的心理健康！
33,学校名声已经臭了
34,从始至终就很相信49中 不仅因为是刚毕业的母校 还相信学校的老师和领导 终于等到了真相大白的一天 49中一定会越来越好 辛苦了学校的大家
35,不真不实，非善非美
36,键盘侠：虽然我听信一面之词，到处攻击政府、学校老师，但是这一定不是我的错，一定是因为他们不够透明不够及时，我能有什么错呢，不过是想伸张正义罢了，啥?我伸错了?正义人士的事，能有错吗？我没错，下次还敢。
37,天啊 这让父母怎么接受得了
38,我是49中毕业生在49待了6年，我所遇到的老师都是很认真负责的老师，也遇到了我此生要感激一辈子的良师。然而前两天看到一边倒的舆论攻击学校老师，看到以前教自己的万老师被污蔑，看到老师被打的视频，真的很心痛。但愿49中继续发扬传统创造奇迹，所有学弟学妹们中考顺利高考顺利，金榜题名蟾宫折桂！
39,也算是保护那个女孩子了 学校顶了风头 撑住啊 高考在即 希望那个女孩子不被影响🙏🙏
40,这样的学校能培养出什么
41,如果是因为校园暴力，我将会诅咒所有隐瞒人员
42,为什么删我评论，你在掩盖什么
43,为什么不能看监控？还不准家长进入？还让学生三缄其口？
44,今天真相大白了，作为49中毕业生，清楚知道49中是什么样的学校，老师都很用心负责。这几天网上的谩骂和谣言，看了真的很难受。网络时代，真相更常常落后于舆论，但它总会到来。49中以后会更好的！希望楼里造谣的、无端揣测的人给学校一个应有的道歉！
45,你这公告发的有水平！几点报的警和喊的救护车，救护车几点到的？几点通知的父母。监控哪去了？
46,让你们和学生委屈了三天 抱歉  祝大家健健康康快快乐乐的
47,恭喜你们成为‘名校’了
48,18点40这个时间已经不算模糊时间了，你咋知道是18:40左右？监控时间写的吗？
49,抱歉，之前听信谣言指责辱骂贵校，祝贵校越来越好，愿贵校教师学生能早日恢复正常生活，在此我为我的过激行为道歉
50,六点四十坠楼，八点半救护车到，九点通知监护人，拒绝家长进入，拒绝提供监控
51,热评里的人好奇怪，明明追着要真相的是你们，为什么今天真相大白，却没有几个转发甚至点个赞？你们是都不看新闻吗
52,虽然我道歉了，但我下次还是得躲在背后敲键盘，不为别的，就因为敲键盘不费力还能伸张我内心所谓的正义，这不就是在座的网络警察
53,仅仅一所高中而已 后面的保护伞是谁
54,@共青团中央 @紫光阁  @中国政府网 @国务院公报@光明日报 @国台办发布 @国务院公报 @健康中国 @科技日报 @联合国   @强国论坛 @全国人大 @人民日报 @人民网 @世界卫生组织 @央视频 @央视新闻 @中国新闻社 @中国政府网 @中国青年报 @中国之声@胡锡进@环球网监控
55,当初被带节奏的，现在道歉就是了，某些马后炮也差不多得了，前几天也没见你们有反对的声音，现在倒好，一个个的都装理智了
56,现在真相大白了，随手点进前排几个“正义”网友的主页，大部分可没转发最新的报道
57,好家伙，道歉说虚伪搞笑，不道歉又说人家没心，有些人真牛逼啊
58,请还原真相
59,一帮人，学校出事的时候没有一个人是站出来的，出事以后各种，哎呀，不要舆论治国，相信国家，相信党，真笑死了，官官相护即使不多，但也不是没有，大部分人也只是好心，再说了，学校前期的操作确实很迷，不是吗
60,前排的臭宝们，醒醒，看通报了！是不是🉐给学校道个歉
61,你确定你是在七点之前立马拨打的120 我不信 你给我看监控
62,这几天一直在各大平台维护你们的声誉，因为我的同学(49中毕业生)和我陈述过49中的好，现在结果出来也很欣慰，希望贵校学子顶住压力，高考加油!
63,无脑跟风者 会道歉吗
64,我来道歉了长记性了对不起
65,被你们某位高干推下去的吧？
66,娃娃养那么大，为人父母都能理解，确实痛心，唉……好好奇，是啥子原因？不过既然公安机关都介入了，我等屁民只有坐等后续通报咯……
67,那些道歉的，如果这个是你的母校呢？你看的下去吗？
68,真相终于大白了！我们学校很好，学弟学妹们高考加油！四十九中一定会再创辉煌！
69,欠你一句道歉，对不起
70,道歉很多时候是没用的，一句道歉也不会让学校老师领导学生从这件事的网络暴力阴影中走出来，毕竟被造谣的不是你
71,我也说一句抱歉吧，只希望下次出事不要再藏着掖着了，真的跟自己无关就心胸坦荡一点，否则很容易被一些不理智的人误会，甚至是带跑偏，质疑。
72,祝贵校2021高考大捷
73,学校太难了。
74,统一热评观猴啦
75,学校留着这些评论就是为了真相出来的这天啪啪打你们的脸
76,背后有什么势力呀？是什么狗官还是什么企业狗总给你们撑腰呀？亦或是哪家的公子哥犯得事？坠楼？骗鬼呢？是谁故意推的吧！
77,怎么删了前几天评论
78,对不起哦，之前误会了你们了（但没骂过狗头保命）
79,对不起，曾经质疑过也误会过贵校
80,你在搞什么啊！人是怎么摔的？！原因呢？一句话就想把事情都盖过吗？
81,我为自己当时不明真相错怪学校而道歉，对不起49中。希望老师和同学能得到心理援助，恢复正常生活🙏
82,这才是@人民日报 @人民日报 @人民日报 @人民日报 @人民日报 帮你艾特，不用谢
83,@人民日报 @紫光阁 @头条新闻 @人民日报 @紫光阁 @头条新闻 @人民日报 @紫光阁 @头条新闻 @人民日报 @紫光阁 @头条新闻 @人民日报 @紫光阁 @头条新闻 @人民日报 @紫光阁 @头条新闻 请官媒监督为什么出事那段监控怎么没了
84,为我前两天结合某乎某博各种盲目猜测和没脑子的义愤填膺道个歉
85,2021年了，我在小说里都没看到过毁尸灭迹能做的如此理直气壮的。    毁尸：没有经过监护人的同意，将被监护     人直接拉入殡仪馆，现在是否火化了尚未可知。     灭迹：监控系统“选择性”丢失数据。   学校都他妈的能替警察报案了？腐败的新中国 漂亮
86,那为啥事发时的监控没有了？还不让人家长看孩子尸体？有没有点良心？
87,真心需要道歉🙇‍♀️，被人带节奏了，我真傻
88,一定要把造谣者抓出来
89,对不起 虽然没有过过激的言论 但是心里也有所质疑 对不起对不起对不起
90,大型事后诸葛现场，好在知错就改，以后骂人动动脑子，各位网民朋友，这次差点动摇国体，就因为你们以谣传谣，给不法分子可乘之机，长点心吧
91,真搞笑～现在道歉？学校没问题的话就不会有这些乱子！孩子摔下去用了多久确定的身份？班主任又好巧不巧没带手机合着就班主任一个人能联系上家长～别的老师就没有联系方式～也没群～这孩子家长也不和别的家长来往一群墙头草～哪里有风哪里跑
92,看到这个结果是我意料之中的 母校我为你自豪
93,永远爱49中哟，也爱在我高考前一直没有放弃过我的老师们，一直鼓励着我。祝学校发展越来越好
94,抱歉了 之前误会49中
95,我辛辛苦苦编辑了一条评论被秒删。还不如一句你🐴四了直接
96,未经死者家属及直属部门同意，火化、填埋死者尸体或器官等属于侮辱尸体罪，违反刑法，望周知，望你知
97,不用狡辩了，校长书记先撤了再说
98,这些道歉的人真的挺好笑的
99,为什么不第一时间通知家长？？？为什么不让家长进入学校？？？为什么！！！
100,不好意思成都四十九中的老师同学
101,一些这个学校毕业的学生，或者正在这个学校上学的学生，看见一群无凭无据的人对自己的学校和老师进行不堪入目，惨不忍睹的人生攻击和职业侮辱！他们会作何感想？我不是这个学校毕业的，但是看热度评论，还是看不下去，被骂的太惨了！
102,其实我觉得这次事件给的教训就是：这么大的事情不应该寥寥几字说明，很容易引起舆论谣言钻空子
103,网传监控并无缺失，救护及时，贵校丝毫不作解释吗？ 事件在大平台上热搜，贵校还是毫无回应，到底是太不把舆论网民放眼里，还是水太深？现在对疑点不作解释，网友又倒转风头，仅凭几句同样谣传而来的‘洗白’，一个教育局发的无任何细节的通告？ 无论真相如何，我想看的是官方的回应
104,小心做坏事半夜鬼压床
105,@共青团中央 @紫光阁  @中国政府网 @国务院公报@光明日报 @国台办发布 @国务院公报 @健康中国 @科技日报 @联合国   @强国论坛 @全国人大 @人民日报 @人民网 @世界卫生组织 @央视频 @央视新闻 @中国新闻社 @中国政府网 @中国青年报 @中国之声 快来看看呐！！！！！
106,提供了监控，但唯独没有事发那一段？
107,肖战扛去的救护车？
108,我估计学校也懵逼了，没经历过这种事。
109,哎，亲爱的49啊！委屈你了
110,真的很不容易 难以想象这几天学校师生经历了多大的舆论暴力. 不过在舆情来到的时候 还是有可以提高的空间，比如一开始的公告，文字表述的有温度一点，不像之前那么冰冷，我相信也能减轻一部分的影响。不过给保护受害的隐私点赞，忍辱负重
111,学校和警方还有政府部门是真的惨
112,好家伙 你们不准备向49中全体师生道歉吗
113,化学老师可能吗？？？？老师会做那么蠢的事情？为了留学名额杀人，既然能把事情盖下来就说明留学名额对于他来说轻而易举！！！！不要被官方放出的烟雾弹牵着鼻子走！！！唯一诉求，看监控看监控看监控！！！
114,逝者母亲的微博都登不上去了？如果属实，那你们@ 人家给谁看？信息化时代，别让声明和调查结果成为帮凶！等待真相！！！
115,等鬼找上门来吧你们。
116,请尽快给家长一个交代
117,人民日报都能艾特错，你是有多没文化
118,你学校门口的八个大字你能看到吗？？
119,@人民日报 您要不要来看看，他想艾特您来着，艾特错人了
120,展开调查第一步先把监控毁掉？？？？是人吗？？欲盖弥彰知道吗
121,大家言论都好过激….没有证据之前就一直阴谋论
122,我来道歉了，对不起，我在不知道真相的情况下就到处喷
123,要求公开监控
124,骂你还踏🐴要关注你这个逼东西，你怎么不设置成关注100天以上才能评论啊，啥币东西
125,在校的其他同学们快跑
126,欲盖弥彰，快点给人家父母一个真相@人民日报 @央视新闻
127,对贵校和万老师被误解，我深感抱歉。
128,看完评论区我大受震撼 当代正义使者不是合理质问“为什么不解释一下漏洞”而是充满恶毒的打下一句句“你们太过分了 你们的儿女***** 全家会****” 不愧是键盘使者 有效输出
129,对不起，曾经质疑甚至误会过你们！对不起！！！但是不后悔关注这件事，青少年的心理健康建设真的好重要，以后要避免悲剧的发生
130,好像反转了，可以看看那个叫 辟谣知真相 的微博
131,@央视新闻 @中央巡视组 @中国中纪委 我们国家的扫黑除恶呢？
132,你这个学校以后还招的到人吗？名声已经臭了，你继续捂着还会更臭的，不如老老实实承认真相。
133,高二化学老师的太子是吗？
134,学校的种种行为，我只想到了四个字。毁尸灭迹。
135,听说孩子是在老师的办公楼跳的楼
136,热搜上来了 就怕你扛不住 好大个烟锅巴踩不歇？
137,靠，你说的什么屁话啊
138,你们在隐瞒什么
139,虽然我没骂过你 但还是差点被带了节奏，很抱歉，对不起！
140,来道歉了，希望学校能越来越好
141,虽然不是这个学校的，但是将心比心，谁都不能忍受，在无凭无据的情况下，对自己的学校和老师进行惨无人道，惨绝人寰，不堪入目的人身攻击和职业侮辱，但愿以后这个学校能够恢复如初，不在受到社会舆论的影响，学生们都能毫无顾忌的上学！
142,对不起噢之前舆论引导说尸体直接拿去火化了真的是被气到了真相大白了过来道歉
143,哇，热评前几条还不道歉啊
144,我来为自己之前的言论道歉，现在的道歉可能不值一文，但是能够了解到真相，了解到孩子的死因就够了，在此郑重的说声对不起
145,热评是骂的，时间是道歉的
146,笑死了 一会来道歉的会不会是同一批人
147,对不起，我当时对你们这里的攻击，向你们的管理人员道歉，也向老师道歉，希望学校的老师能好好注意身体，也希望同学们能尽量地少被这些事情影响，好好备战考试，真的很抱歉
148,对不起 为之前的过激言论向学校道歉 误会你们了🙇‍♀️
149,太善良了吧 49中还给林同学妈妈微博点赞
150,那孩子做鬼也不会放过你们
151,你晚上敢睡觉吗
152,你们凭什么不让家长看孩子遗体
153,有没有同学可以说出真相，可以匿名，我相信人性本善！
154,狗屁不是，想问你家长为什么说要进去问问情况，看看人，你为什么拒之门外？你有什么权利？为人之母，母子连心，校方各位领导人也是父母吧？你们的孩子出这样事情，你的学校领导把你拒之门外，还偷着删掉监控录像？还说不怕家长闹，你们什么心情，家长再争取能把儿子命换回来吗？你们对得起你们的职业吗
155,看微博热搜来到这里，为人父母请你们多多站在家长的角度去处理事情，不要二次伤害！
156,所以，监控呢？所以善后就是把家长关在门外？你看你的行为和你的言行一致吗？公关稿没水平就别发了，只会让人想喷你
157,自诩的正义的某些网友每次都是 麻了 吃瓜 看我正义铁拳 平日唯唯诺诺，网上正义出击 我可等不了证据，继续正义出击 反转了 假的，我不信 吃瓜 我没错，他们带节奏 我太善良了，我被他们欺骗了 我好善良，呜呜呜～ 我以后必不可能再被骗 大家以后理性吃瓜 麻了​
158,公布视频要被问责，贵校处理的没毛病，然而坠楼者的最后尊严都被逼没了悲哀
159,把道歉的赞了一遍，对不起。
160,被别有用心的人带偏了
161,对不起
162,错了就是错了，我也没什么可辩解的，在这里郑重的向成都49中所有人道歉 对不起🙏
163,我为我之前的评论道歉，是我太鲁莽了，没有得知真相就对您恶意评论，实在抱歉！
164,真恶心，现在又来道歉，道歉有用的话。网络暴力对师生造成的伤害谁负责
165,这些骂人的快来道歉
166,某些人真的是不道歉不行，道歉了也不行，就是凭着有一双手随便喷呗，我道歉不是因为我之前有辱骂学校，而是我觉得竟然真相出来了，我们就应该尽自己的能力，还学校一片净土。
167,学校里的老师没有知情人吗？躲在后面还要求学生诚实勇敢正直善良？？？就不怕天下人耻笑吗？？？求真务实？至善至美？真要亮瞎你们领导的眼！！！
168,你晚上睡得着吗！孩子会来找你！！！
169,您不心痛吗，人心都是肉长的，能睡着吗？
170,你们学校有不让家长了解全过程的权利吗？？！
171,配称学校吗？？遗体不给看直接扔殡仪馆？你有病吗有点教育良心吗？？
172,我以为贪官都被查出来，以为坏人都被抓了，以为警察都是平民百姓的后盾。官大一级压死人
173,人在做，天在看，不是不报，时候未到！！！！！！
174,学校凭什么没经过家长同意就把遗体拉到殡仪馆？你是怎么走的程序？
175,你凭什么不让家长看看孩子？？？？？
176,既然学校不心虚，配合家长，配合警方，究竟为何，我也不想用恶意揣摩学校以及死亡原因，还一个真相给家长，也不要跟家长说无可奉告了，让本就伤的心更加寒心
177,shab学校
178,现在的网友素质真是高了，知错就改，不约而同的给校方道歉，当年富土康也是有工人压力大跳楼。。。。
179,都是跳梁小丑现在公布视频了知道自己多丑了把没想到这么多工具人
180,对不起🙏
181,没有人道歉吗，骂的最凶的那几个竟然没有道歉，诅咒老师和领导的孩子死的不明不白的人竟然没有道歉……
182,我为自己在不知全貌的情况下所说出的话感到羞愧，即使是在网络上，真的很抱歉，对不起
183,对不起49中的学生、老师和领导，虽然我没有在网络上发表不当的言论，但被舆论左右了理智，被那位母亲动摇了想法，在这条微博下保证，以后网络上的事情绝不站队，网暴不会有我。
184,唉…见证了一场网暴
185,万一哪天上学上着上着就死了，还无人还我公道，老说成材报效祖国，我感觉都活不到报效祖国那一天
186,你他妈搁那扯什么蛋呢 救护车开两个小时？？
187,学校拒绝家长进入，拒绝提供监控
188,成都四十九中：如何甩锅，在线等，挺急的
189,希望监控没坏！
190,希望学校监控列入天网，由公安系统管理。
191,应该把应有监控却拒不提供监控的一方直接认定为事故责任方！
192,四川观察快来观察一下
193,感觉现在破案全靠微博了，那位妈妈如果不发微博如果没有热搜，学校只会继续装死，母亲节发生这种事，真的对妈妈太残忍了，希望妈妈还能见到遗体🙏🏻
194,凭什么学校拒绝家长进入学校并不提供监控等信息
195,学校真的不是他妈个什么好东西
196,18：40出事  立即拨打120  结果八点多救护车才到 不对吧
197,学校遮遮掩掩的干嘛啊。真的好难理解，如果学校有责任你认为遮遮掩掩能逃掉吗，如果学校没有责任那又何必遮遮掩掩。
198,如果没有监控，分析推测孩子死因的唯一办法就是看法医尸检报告了。看到这位母亲说，类似的新闻平时看过很多，未曾想有一天会发生在自己身上。 其他知道内情的孩子，也请勇敢说出真相，不要学会沉默。
199,为什么不能提供监控？你在害怕什么？你到底是谁？是什么让你不给看监控？你有何等目的？
200,滚吧 回应热搜这么高 人家妈妈申诉的热搜为什么一直压着 求你做个人吧？
201,天呐。养到17岁了，就这么没了，父母天都塌了吧。
202,顶上热搜，只有上了热搜才有人关注
203,学校不能成为法外之地。学校的责任应当承担起来！
204,原来我和鲁迅一样 一直活在人命不比烂提子的可笑年代
205,监控永远都是关键时刻坏
206,学校拒绝出事学生家长见面，太不人道。
207,学校成法外之地了
208,现在一个学校都可以成为法外之地吗？学校的应急处理程序这么差吗？没有人第一时间去安抚家长吗？一出事立刻站在家长的对立面吗？这是一个孩子，含辛茹苦拉扯大的孩子没有了！！！为什么在处理过程中看不到一点点的人性呢？教书育人之地连基本的人性都没有了吗？
209,他们只想着公关，考没考虑过家长的心情，太冷漠了。
210,大夏天的看的起鸡皮疙瘩，同为母亲，希望还原真相
211,果然关键时候，监控总是坏掉了
212,原博热度一直上不去 学校回应直接空降热搜榜二 ？？
213,学校如此态度对待出事家长，谁给的勇气？现在算是知道中国的人权为什么总是被别国说三道四了，是有原因的。
214,6：40坠楼，8：30救护车到，都快两个小时了，这还是急救吗？为啥9点才通知家长？为什么没有第一告知情况？学校为什么把家长拒之门外？？
215,让我想到成都大学领导自杀事件，结果也是不了了之。
216,"我翻开历史一查，这历史没有年代。歪歪斜斜的每页上都写着“仁义道德”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满本上都写着两个字“吃人"""
217,那些不发声的学生和家长有一天悲剧就会发生你身上，请勇敢站出来
218,校长估计急了。
219,可怜的娃！给你的妈妈拖个梦吧，告诉她真相，虽然知道不可能，我也是一个母亲，看到这样的新闻甚是心痛！
220,恕我直言，最后的通报结果。只会告诉你，孩子不小心掉下去的。更多的内幕。你永远只能靠猜测。警方到时候一张通告，结束本案。
221,为什么学校拒绝家长进入，拒绝提供监控？
222,建议孩子家里直接告学校涉嫌贩卖人口以及人体器官买卖！！看孩子母亲微博说学校提供不了孩子死亡时的监控，也没有见到尸体，到手就是一坛骨灰，谁知道里面是不是那个孩子！就告这一条让他们拿出证据证明孩子死了
223,现在种种给我感觉就是，问题没有热搜都不配被关注
224,孩子意外去世母亲竟然见不了孩子最后一面太难受了，昨天还是母亲节
225,学校在心虚啥呢，在隐瞒什么，掩护什么，搞这么大阵仗，不通过家长直接火化，是校长推下去的吗?
226,冷知识：不要觉得现在学生跳楼事件算多，实际上有更多，你看到的只是能看到的，有许多事件并没有演变成舆论。
227,特色处理方式，遇事就先压舆论，躲责任。。。
228,监控呢？为何九点才通知家属？希望早点查清楚，一路走好
229,真心希望有一个人能帮这位家长梳理一下事情的时间线，也许真能找到蛛丝马迹
230,就等着给老子死，一失足成千古恨，管你以前多少荣誉，现在你们这个做法就是引起公愤！不提供真相，阻止一个母亲去见自己死去的儿子，你们这些涉事人员就没有自己的子女吗？等着你们教育局学校相关领导被问责，一定会等待后续，不死难泄大家的怒火！给老子死
231,这么多年了，对法治建设越来越没信心
232,监控刚好没有那一段你说神奇不
233,肯定有鬼，也可能是某个领导家的孩子相互推搡
234,希望能查清真相，给家长交代，公安机关辛苦了
235,严格追查事故真相，给学生家长一个交代！
236,一分钟来刷一遍，生怕热度下去
237,真的，但是有时候确实不得不佩服学校的公关工作。我说的是学校，是所有学校，不是单指小初高甚至是大学高校。是所有。我们学校之前在一栋楼前被拉起了警戒线，还有警察，有同学去周围拍照都被警察叫过去盯着删了照片。全程也就一小时左右，后面警察带老师们全都无影无踪~
238,18:40发生的事情，21点才由警方告知家长。不是应该除了抢救学生以外第一时间联系家长吗？这段时间里干了些什么，擦除一些不能为人知的痕迹吗？
239,是自己轻生跳楼还是咋，纳闷为什么不给看监控，他妈妈应该是有权利看监控的吧？
240,我是一名曾经服役于西藏的一名退役军人，优秀士兵，我用我那么艰苦的退伍费给我的老父亲治眼睛，没想到一个好好的眼睛给治瞎了，我的退伍费花完了，我的老父亲也在忍受别人异样的眼光，病痛的折磨，我不想违法，我不想和医院同归于尽，因为我是一名退役军人，恳求社会能为我发声。 ​​​。
241,惠州某综合高中也是！！！！2020年临进高考，半夜跳楼，家长在校门口拿着孩子的照片跪地痛哭！！！！学校视而不见！！！！
242,阿爸妈妈得多伤心。看都不给看，唉
243,一个公立学校，这样傲慢的处事态度，是对生命的漠视，文中看到了一位普通母亲的无助，深深的无力感！
244,每次都这样，欲盖弥彰，心虚，本来可能没什么事最后搞得大家都不相信
245,求真求实 至善至美  8个大字它码讽刺
246,天，有了孩子以后看这种新闻觉得心理都有负担了，让以后怎么相信学校
247,为什么不提供监控？为什么拒绝家长进入？
248,我们坐等一个真相！请媒体一定要跟进！
249,这算什么回应
250,没有经过同意直接把学校拉去殡仪馆就离谱！
251,为什么当天不看监控，阻止家长。你特喵的就是有问题。
252,挺有克制力的家长，换作是我，学校这门，我肯定是要进去的。
253,祝这学校校长，半夜鬼敲门
254,学校跟黑社会没啥区别
255,为什么离医院3公里路程，救护车跑了2小时
256,公安机关调查是一回事，孩子是在学校没的，学校有必要第一时间通知家长告知缘由吧！？学校各种欲盖弥彰的行为让人很难不怀疑
257,不管怎么样学校都逃不脱责任的。如果是意外就是学校管理问题，是自杀就是学校教育问题，是他杀的话也是学校安保工作的问题，怎么都逃不掉，为什么不认真面对呢
258,终于有媒体发声了，一定要给这位母亲一个公道，母亲节的巨大打击啊！太心痛了
259,笑死。监控视频刚好没那段时间的。相关人员都没有孩子吗。真有趣。想诅咒
260,请还家长一个公道，还孩子一个公道，还生命一个公道，还人性一个公道
261,什么原因坠落！是失足，还是学生打闹，监控呢！
262,娜诺又该开学了吧
263,最为关键是这事情不是个例，不是一次两次了！几乎每次学校发生类似的事情，第一时间都选择瞒着，遮掩，寻找应对之策，内部威胁封口，然后才去处理事情... 归根结底呀领导们的政绩和利益最重要！！
264,关注！扩散！还反了他们了！！
265,第一次看做贼心虚虚的这么明显的
266,6点40到8点30，救护车🚑 是从重庆开来成都吗？
267,这不是尊重不尊重的问题了，违法了啊
268,好可怕，感觉孩子在学校的生命安全和家长的最基本知情权都没得到保障
269,成都学校黑暗势力太强大了，镇压的无比厉害@成都发布 @人民网 @人民日报 @共青团中央 @共青团中央 @共青团中央 ，青年都被弄死了，赶紧出来曝光下
270,18:40坠落的，救护车到都20:30了，怎么能说学校立即拨打120呢
271,所以为啥不让父母进学校？不让看监控？学校干啥了这么心虚？人家养大的儿子就这么没了，不给父母一个交代？
272,学校啥时候有签字火化遗体的权利了？我真的惊呆了！
273,母亲们大家顶上去 我们都要保护我们的孩子
274,真的就是现在发生事情，只能通过媒体上热搜来维权了吗
275,凭什么！！！！！凭什么不让看遗体，凭什么不让查监控！！！！替这个妈妈心痛！校方一定要给个说法！！不能让学校成为封闭的小社会！！
276,校长不配做教育工作者
277,中国有句古话，叫“活要见人死要见尸”
278,总结一下，全是废话
279,求真求实 至善至美  8个大字真它码的 讽刺
280,他的同学一定要出来发声，不要害怕，我们相信这个社会是正义的....
281,为什么不让家长见孩子？为什么不让家长调监控？
282,49中的父母难道不应该团结起来吗 今天是人家的孩子出事你们袖手旁观 下次轮到你自己家的孩子出事那你们怎么想呢
283,不让家长见，那就身上肯定有什么痕迹吧，不然如果是自己失足摔下，学校有啥隐瞒的
284,18:40出事，家长晚上九点才通知？😡
285,现任#成都49中# 校长还是唐文勇吗？出来发声啊 非得点名落实个人责任吗
286,是立即拨打120？然后两小时以后120来了？监控不让看，不让家长见孩子，为什么？第一时间不想着如何解决问题，安慰家长，是在连夜开会商量如何逃避吗？
287,就缺了那一段监控，肯定有事校方不敢让人知道！
288,这边建议，请广大适龄的孩子，不要报考了哈
289,这种学校也配教书育人阿？
290,#成都四十九中回应学生在校高坠离世#  一条生命，不论什么原因，学校都不应该凌驾于父母之上。及时、公开，才是失去孩子的母亲所需要的，特别是在昨天那种日子里，真讽刺。恐惧、揣测来自于未知。
291,为什么不经过家属，就直接火化了？学生在校身亡，大多除了意外就是校园暴力，这两项哪个是不能大大方方讲出来的，还至于要删除监控又拒绝家长入校？你们到底把孩子怎么了？？
292,不是吃瓜，希望学校能给大众一个说法！
