内容,时间
 位置：就在圣淘沙岛上，建议天气好时步行上岛，捷运4新币太贵了。项目：首推双轨过山车和木乃伊，失重感强，刺激。大家都推荐的变形金刚对晕车的人很不友好，不过我还是玩了两遍。吃饭就出来马来美食街吧！推荐炒饭！,2019-02-08 09:51:00
 环球影城共7个主题，惊险又新奇有趣。门票是76新币（大概376人民币），如果可以建议购买快速票（约800...900人民币）。变形金钢、侏罗纪公园、过山车项目比较热门，排队都在1小时以上。尤其是变形金钢，完全是排队2小时，游戏5分钟。因为没有买快速票，我们基本大部分时间都是在排队不过在5点左右，变形金钢就只要20多分钟了，我们激动的又玩了一次，很满足     环球影城还有一个斯皮尔伯的摄影棚，可以模拟4级飓风的场景，感觉是良心作品，基本不用排队，值得一看（温馨提示：那些站在前排的小伙伴要慎重啊）炒鸡喜欢侏罗纪公园这个主题，也是排了1小时+。最后有小惊喜，值得体会。木乃伊稍微有点惊险，一个小小的过山车。,2019-02-03 23:08:14
 环球影城是暴走的一天，因为前一天多小妹玩沙玩水着实辛苦，早上大家没赶时间，去到环球影城已经10:30了，地下车库那里换了快捷Express的票，门票是电子票直接刷卡进入。之前并没有做环球影城的攻略，进去之后直接选了逆时针，从纽约先开始，因为有快捷票，排队没花费太多时间，除了过山车这样太刺激或者多小妹身高不够不能玩的项目之外，其他都玩了一遍。其他都还可以，环球影城出来已经六点了。,2019-01-27 13:25:29
" 今年来 新加坡 ，想着已经是暑假最后2天，而且不是周末，人应该不多吧，结果，现实还是很骨感   。环球影城共分七个区:
1、 好莱坞 ：入口处，礼品店，照相馆，餐厅等
2、 纽约 ：街舞表演，特效电影。
3、科幻城市：双轨过山车（红线，灰线），变形金刚。
4、 埃及 ：室内过山车，寻宝奇兵。
5、失落的世界：漂流，水秀。
6、遥远王国：4D电影，悬吊飞车。
7、 马达加斯加 ：漂流，旋转木马。变形金刚同 大阪 环球影城的蜘蛛侠差不多，带上3D眼镜，坐上战车，让你感受一把上天下地消灭坏人当超级英雄的滋味。（因为没买快速票，入园后赶紧过来排变形金刚，结果从11点排到12点10分才坐上  。虽然不是周末，虽然是暑假最后2天了，我感觉人一点也不少我感觉变形金刚出来就到了双轨过山车，世界最高，双轨是它的关键词，儿子表现出浓厚的兴趣，抬头望去，一条条令人眩晕的轨迹在眼前划出了一道道优美的弧线，大脑立马闪过一个念头：   闪人 。埃及 区的木乃伊复仇记，是一个室内过山车，同 香港迪士尼 的星空过山车差不多，在漆黑的环境中探索未知世界。遥远王国中的4D影院，非常大，目测一次可以容纳几百人入场，排队时间少，演的是史瑞克和菲欧娜公主的蜜月之旅。马拉加 斯加主题的旋转木马，小朋友 和美 女的最爱。很快一圈走完了，感觉 新加坡 环球影城略小，如果有快速票，3个小时称霸全园妥妥的。游记地址：http://www.mafengwo.cn/i/8080498.html",2019-01-21 23:26:27
 将环球影城的门票下载到手机上，验票就用条码扫码就可以。如果是旺季建议再买个快捷票Express可以不用排队，这个卡是付费的和门票是两张票，不是一回事。快捷票分很多种，我们买的就是一些经典项目一次的快捷票，完全够用，这里还要注意，快捷票是带日期限制的，买票的时候一定要和门票买到一天，否则就惨了！再有新加坡环球影城还有singl通道，你可以站这个通道也比普通通道快。带现金，午餐和买照片还是需要用现金的。大一点的购物店是有微信付款的。4月份是淡季，每个项目排队的人也少。我们基本把园区所有能玩的玩了一遍。环球影城最有人气的角色当属小黄人，这里有各种呆萌可爱的小黄人，和它合影“咔嚓咔嚓”根本停不下来。,2019-01-20 09:12:35
 其实心心念念的是我harry potter的馆，可惜新加坡这里没有，有个小插曲：提到快捷票 ，其实还是比较建议大家买快捷票再加上要早早的一开园就进去 ，不然真的项目没有玩完的会特别不开心， 而且提前买还是会便宜很多的~其实建议游玩顺序的话：科幻城市主题区 ---古埃及主题区---失落世界---遥远王国---马达加斯加---好莱坞区---纽约区 。没想到一大早在门口也是人头攒动啊 ，到了中午的时候人真的很多很多 。浪着浪着就天黑了， 晚上开灯了耶很好看， 到傍晚的时候好多小场馆都关门了呢 ，有个角落不知道为什么有种香港街道的feel，买好纪念品就离场啦~~ 出来广场上灯光都开起来了。,2019-01-18 16:58:53
 环球影城，新加坡必打卡点之一。门票小贵之外，快捷票也纠结了半天。买，万一游客少呢？不买，万一人暴多呢？后来一想，纠结啥呀，有钱买么？没有！运气不错，去的那天游客不算多，基本每个项目排队30分钟左右。园内有免费的引用水设施。中午一个套餐14新币左右。整体的游乐设施还是老少咸宜的。,2019-01-15 17:51:07
 早上10点正式入园，9点45分的时候会有一个暖场活动，门票可以是电子票，刷手机条码就能进，但建议打印出来，吃的喝的都可以带，不用担心不能带的情况。如果不想在里面吃饭，可以自己随身带面包饼干之类的。也可以出园用餐，很方便。不过要走盖章的通道，给你手臂上盖好章就可以凭章和门票当天再次入园。记得虽然手臂上盖了隐形章，再次进入时还是要查门票的，所以门票千万收好别丢了。旅游旺季不想耽误时间的建议买快捷票；没来环球之前网上看很多攻略，有顺时针、逆时针玩法，但当你入园后，面对人山人海的局面，没办法考虑所谓的顺时逆时了。这次我就受了一个大苦。一入园就开始下起了雨，在小黄人那逛了小会后雨停了，见芝麻街意大利面太空战人少就先排去玩了，看着人少但弯道是别有一片天，还是排了20分钟。接着就到变形金刚，那真的是个恶梦，一个痛苦的等待，足足等了快2小时，真的是排队2小时游玩5分钟，排完队后的疲累都无法言表项目的好玩程度了。如果是旺季人多的时候来，一定不要凑热闹赶早，上午好好的睡个懒觉或是去海洋公园或其它地方走走，下午再来吧。人少的可以去排，人多的项目跳过，因为到5-6点之后，各项目人开始少了，7点后基本是直通不用排队的了。说真，当天5点前没玩到几个项目，但在之后的时间，我们把所有没有玩的项目都玩了，好玩的也都2刷了。排队排到失忆。还有一个快捷方式，走单人通道，有开放单人通道的一定要走单人通道，即使是跟朋友一起，不用担心分开，都是一样玩的，没有差。但单人通道快很多，时间就是成本。在人多的下午，我们排木乃伊复仇记走的单人通道，15分钟左右就排上了，而且姐姐跟侄女还排到一辆车，我在后面一辆，大家进度都差不多。后面排的项目我们都是前后车，比正常通道快很多。友情提示：进门时一定要拿一张环球影城的地图，除地图外还有一张专门的演出时间表;环球影城有可直接饮用的水，带着水杯或者矿泉水瓶可以接来饮用，不必现场买水。,2019-01-11 14:48:55
 足足嗨玩一整天，都顾不上照相这件旅行大事，从变形金刚开始，木乃伊过山车、（木乃伊卡丁车太低幼不推荐）侏罗纪世界漂流，好莱坞特效工厂，未来水世界、怪物史莱克4D电影，马达加斯加木箱漂流、圣诞季舞台演出、街头摇滚、小黄人合影、芝麻街，星期日没有买快速刷了这么多项目。早上10点进园，晚上8点出园。,2019-01-10 17:11:44
 新加坡的环球影城比较小，坐落于圣淘沙岛的一角，岛上的轻轨火车是免费乘坐的，环球影城出来便是酒店、赌场、马来西亚美食城以及水上世界、海豚湾等景点，乘坐轻轨可以到ifly、狮身鱼尾像、海滩等景点。环球影城项目都比较平缓，比较适合带小朋友玩，唯一刺激的项目就数过山车、变形金刚、木乃伊了，快的话半天时间就可以玩完。其中有一个皮克斯的特效场景非常棒，可以体验下飙风场景的拍摄现场。,2019-01-08 16:38:22
 可能因为是周二，并有排队直接电子扫码入园，直奔变形金刚，大概排了10分钟就开玩了，顺着地图挨着玩，下午4点半的时候刷完除幼儿以外的游乐设施还有三大剧场，还有些时间二刷了变形金刚和红蓝过山车。热门项目可以等下午5点后去坐，几乎不需要等待。      提醒大家大部分游乐设施乘坐时都需要存包，在大部分游乐设施入口处有免费存包箱，一定时间内免费，注意不要超时，超时需要补费用，楼主就比较尴尬，坐完木乃伊去玩漂流的时候，之前在马蜂窝上看到游记说前面没有免费存包处，就打算坐完漂流再取包，结果排队时间太长，不但超时，而且钱也存在箱子里，无法开箱，找到工作人员帮忙开箱浪费了很多时间。其实漂流门口就有存包处，每次存完包一定要取出来，玩下一个之前再存进去。木乃伊过山车应该是所有室内过山车里最刺激的。史莱克4D电影很精彩，不要错过，注意时间红蓝过山车有2个入口，红色的是正着坐的，灰色的是轨道在上，座位挂在下面的，想2个都完需要排2次队。,2019-01-03 19:33:58
 从洛杉矶到日本，环球影城重度爱好者来到新加坡啦！奉上一些小小的经验😆首先是买票问题。我们买了单次快捷票，即可以在玩每个项目可以走一次快速通道（快捷票并非包括所有项目，但涵盖了园区最受欢迎的那些）。如果是在旅游高峰期，比如我们是在12月30日这样的日子，那么快捷票很有用。热门项目的排队时间都在90分钟到120分钟，使用快捷票排队是10到25分钟。还有另一种多次快捷票，即每个项目可以多次优先游玩，我认为没有必要。因为使用快捷票也会耗费排队时间，加上存包、吃饭、拍照的时间，玩完一遍所有热门项目也要到傍晚（按照11点入园来算）。其次必玩项目！变形金刚 ⭐️⭐️⭐️⭐️⭐️ 环球影城经典项目！视觉效果与游玩性完美结合！不会有过刺激不适的感觉。太空堡垒机械战队（灰色轨道）⭐️⭐️⭐️⭐️⭐️园区内一共两个过山车，一个是灰色轨道，一个是红色轨道。相比较而言，灰色轨道更好玩，它是悬挂式的，会有翻转，轨道变化比较多。两个过山车其实都不是很高，也不是很快，不会有强烈失重，算是比较温和的过山车，跟北京欢乐谷的极速飞车相比是小case🤪木乃伊复仇记 ⭐️⭐️⭐️⭐️⭐️室内过山车，很黑，所以看不见什么时候上什么时候下😆属于那种好玩也不会特别惊险的过山车，有一丢丢失重感。侏罗纪河流探险 ⭐️⭐️⭐️⭐️漂流项目，后段比较精彩！不会有不适感。肯定会淋到水！可以提前准备雨衣，排队时有自动售卖机，10新币，推荐提前准备，在普通超市2新币搞定。太空堡垒人类战队 ⭐️⭐️⭐️⭐️红色轨道过山车，真的是不算刺激不会难受的类型。鞋猫剑客历险记 ⭐️⭐️⭐️全球首个《鞋猫剑客历险记》主题悬吊飞车，老少咸宜，也有一定速度与俯冲，不算无聊！芝麻街之意大利面太空战⭐️⭐️⭐️可爱！平缓！史瑞克4D电影之前在洛杉矶玩过，印象中好玩程度是普通水平，大概是三到四星。马达加斯加园区的木箱漂流记实在没时间去了😭因为晚上约了朋友吃饭。接下来是游玩顺序！热门项目都在进园后逆时针方向，所以如果想要避开人群，顺时针或许是不错的选择。我们没有特别关注真人玩偶合影时间，但很幸运的是，恰巧碰上了Gru以及小黄人的时间。都在好莱坞街道，Gru是五点半，小黄人是六点😆,2018-12-31 09:14:24
 早上9：30的环球影城门口已经有很长的队伍了，这很正常。之所以选择在今天来这里，就是想避开周末两天，事实证明这个想法很明智，所以建议大家，不要安排在周末去玩环球影城。在马蜂窝上购买了门票，很优惠，比现场买可便宜不少哦。商家会发送电子邮件给你，打开里面的附件文档，在入口处直接出示给工作人员，扫码就可以进去了。 来到这里，就放下所有的烦恼和心事，尽情去享受此刻的欢乐吧。玩了“木乃伊”和“侏罗纪公园”。也观看了“未来水世界”的真人Show。影城不大，而且有几个小馆还没有开放，即便这样，也足以在里面玩一天了。给大家的建议就是：除非你的行程安排得非常紧张，又或者你觉得都不好玩，那么，请预留至少6个小时(每次排队不超过20分钟的情况下)在这里吧。18：30，心满意足的离开。,2018-12-30 15:30:28
 提前买好电子票，存成二维码截图可以直接扫码进园， 圣淘沙专线需单独购票，EZLINK卡可以直接进站，充值机器只有负2楼地铁出站口有。 进园后不要忘记一定要在入口左侧游客信息栏拿：     ① 导览地图：了解园区整体情况，游玩项目所在位置②时间安排表：注意看好“未来水世界”等的表演时间，方便安排游玩时间。“与角色会面”是影视人物出场合照的时间。以前赶早不赶晚提前去，热门的要排队以免错失合照机会 玩漂流最好自备一次性雨衣，塑料袋装鞋子。现场买5新币。 环球影城绝大多数游览资料和指示都有中文，但是所有项目和演出都是英文演出 新加坡环球影城不大，不知道想玩什么就绕一圈看看。 单人有SINGLE快速通道，除了木乃伊基本都不用排队，不需要买快速卡。 玩木乃伊要存包，免费存放用指纹验证。木桶漂流为怕湿身也会要求存包，但是要收费5新币，所以其实可以都在木乃伊处存包,2018-12-29 20:05:28
 提前在马蜂窝预订的环球影城门票，抱着周一人不多的态度没有买快速票，去了才发现环球影城真的不分周几 永远那么多人！！！奉劝各位小伙伴，还是买快速票吧，那排队的人根本等不起 一个过山车要排队四个小时，这都是后话了。环球影城十点钟开门，建议九点半就去排队。之前简单做了一下攻略，可以逆时针游玩，我们并没有上来直奔变形金刚，我们真的是走一路拍一路，走到哪里都要拍一拍 。先走上了好莱坞大道，有我最喜欢的小黄人商店，每一样都喜欢得不得了，还可以跟小黄人合照，有时间的哈，我们没有特意赶回来，但我们看到了芝麻街的绿色垃圾桶人偶，好喜欢阿。先去玩了芝麻街什么大战意大利面小火车，貌似是小孩子玩的，站排时间一个小时，有点失望 。,2018-12-28 15:24:17
 之前研究半天是否需要优先票，网上说法不一，优先票是可以现场购买的，根据入园情况价格浮动。考虑是淡季，决定入园再看情况购买。过山车，同行的朋友去乘坐了，即便看起来排队的人不多，还是排了一会儿才坐上。环球很多项目除了优先通道，还有专门给单人游客的专门通道，这时候凸显一个人的优势了...木乃伊这个区域，我们完全没有进去...买了环球的摄影券，但是基本没照，很多可以照相的地方都没有提示，最后去取相处时照了的很多照片也都找不到了，感受很不好。对了，自备雨衣很重要，大淘宝几块钱的雨衣比现场的好很多。新加坡的雨总是说来就来，木有任何预兆....我个人很喜欢这个不太惊险又有点儿小心跳的项目，好吧，老母亲的小胆量，确实还不如小朋友....新加坡的环球并不大，然而一天下来，我们竟没有逛完，中间的雷雨耽误了一小会儿，其他时间马不停蹄...总结下来，要想一天逛完，还是得有优先票啊...环球最好玩的是过山车，我们没有体验，环球的餐厅挺多的，但是跟所有乐园一样，就别讲解口感了吧。,2018-12-27 00:59:47
 门票是在网上预订的，凭二维码直接扫码入园，很方便。环球影城的门票是一日票，可以自由进出，如吃完饭再回去也可，出去时工作人员在手背盖个章即可。进园无需验包，可以带食物进园，这里忍不住吐槽上海迪士尼，不能带食物进园这个规定，真的好奇怪。,2018-12-25 17:50:49
" 环球影城当然是必须要去的啦
乐园里的食物肯定是比外面贵的，影城外面有好些吃东西的店铺，有鼎泰丰，价格跟市区的一样，推荐在这里吃。
入园后记得先拿一份园区地图和活动时间表，英文不好的建议拿两份地图，一份中文，一份英文，能更快的就行地图对照，不然你在园区里看到英文地标也弄不明白到底写的是啥
大致规划一下，挑选自己喜欢的项目，还有角色见面时间， 比如 变形金刚见面会、小黄人见面会。
详情参考攻略：http://www.mafengwo.cn/i/8267578.html",2018-12-20 15:56:31
 九点四十五有开园表演，气氛一下子就被烘托起来了。门口排队的人已经不少，但经历过上海迪士尼那种大场面，这点程度的排队那都不叫排队！大家都是慢慢走慢慢看，摆摆POSE拍拍照，逛到哪个玩哪个。不像大阪环球影城和上海迪士尼，一开门一群人往里面狂奔，太恐怖了！,2018-12-20 00:40:49
 进去后大概是逆时针的路线，正巧碰上魔发精灵的主题展，进去前也没做什么攻略，看到什么就玩什么，总体来看，里面的景点还是很家庭的。可以买快速通行，排队久的项目看到用express的还是很幸福的，而且是把整个园区都玩一遍的重要前提。,2018-12-08 15:03:56
" 【环球影城】
下午去环球影城，公交车到圣淘沙站，然后搭一站跨海的轻轨过去，也可以走过去。
这个环球影城不大，但比LA的干净整洁一些，就是逆时针走一圈就玩完了。
过山车不错，LA的环球影城是没有过山车的。变形金刚很震撼，坐了三次，乐园里的声光效果真不一样。有一个攀岩的不错，但是没有带护照，遗憾。还有一个模拟纽约的飓风场景的，也很逼真。
马上春节了，很有过年的气氛。
晚饭在出环球影城右手边的马来西亚美食城解决，吃了肉骨茶和石锅饭，出来漫步圣淘沙和vivo city。",2018-12-05 13:41:08
