PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon, 
41.99,89.26,29,14.3,0.55,62.63,7.21,-8.28,279.39,39.98,87349.8,37.18,113.78, 
44.14,96.12,32.65,16.89,0.57,61.05,4.96,-7.55,284.14,32.31,93396.57,37.16,113.95, 
54.52,121.46,38.64,22.86,0.66,57.98,1.85,-6.37,286.47,30.82,96821.52,37.15,114.12, 
109.54,241.18,70.64,46.84,1.06,49.89,0.61,-5.77,286.94,34.36,98536.45,37.14,114.29, 
139.55,304.34,83.08,54.89,1.32,48.05,0.48,-5.46,287.54,37.39,100540.26,37.13,114.46, 
153.97,333.76,83.6,54.28,1.51,48.97,0.77,-4.69,287.61,38.93,101272.03,37.12,114.63, 
151.88,319.52,72.95,46.66,1.49,51.91,1.35,-3.99,287.43,39.92,101328.58,37.1,114.79, 
149.19,308.61,66.09,42.66,1.49,54.45,1.87,-3.36,287.3,40.77,101414.56,37.09,114.96, 
140,285.53,58.41,38.03,1.45,57.62,2.28,-3.12,287.22,40.56,101443.98,37.08,115.13, 
128.22,259.8,51.76,33.85,1.4,60.92,2.62,-3.08,287.1,40,101390.16,37.07,115.3, 
121.63,248.84,48.74,31.9,1.38,64.2,2.85,-2.9,286.95,39.85,101325.97,37.05,115.47, 
117.35,239.04,47.58,30.62,1.39,67.36,2.99,-2.59,286.87,39.89,101301.83,37.04,115.64, 
110.05,217.65,44.58,28.29,1.35,70.31,3.19,-2.31,286.74,40.43,101282.27,37.03,115.81, 
103.26,199.98,44.18,27.35,1.31,72.96,3.32,-1.74,286.72,40.63,101320.16,37.01,115.98, 
98.47,189.72,44.65,26.94,1.3,74.52,3.41,-1.29,286.67,41.49,101433.42,37,116.15, 
92.85,179.22,42.66,25.28,1.27,76.19,3.66,-0.79,286.54,42.63,101497.06,36.98,116.32, 
87.33,169.93,41.24,23.83,1.22,77.68,4.02,-0.31,286.4,43.62,101497.26,36.97,116.49, 
83.69,165.12,41.33,23.16,1.18,78.84,4.3,0.11,286.31,44.08,101513.66,36.95,116.65, 
82.47,166.31,44.69,24.24,1.16,78.78,4.59,0.77,286.16,44.83,101528.52,36.94,116.82, 
81.41,166.4,45.13,24.31,1.14,79.12,5.04,0.94,286.08,45.39,101550.17,36.92,116.99, 
80.97,166.9,44.75,24.44,1.12,78.22,5.25,0.97,286.23,45.18,101620.48,36.91,117.16, 
81.73,164.37,41.25,22.58,1.09,79.08,5.02,1.44,286.23,45.75,101557.57,36.89,117.33, 
83.84,165.31,40.45,22.25,1.07,79.22,5.01,2.65,285.75,47.88,101258.98,36.88,117.5, 
87.57,173.39,45.9,24.32,1.08,79.28,5.61,3.37,285.3,49.37,100775.47,36.86,117.67, 
91.48,184.9,52.93,27,1.09,77.73,5.73,3.19,285.6,48.62,101216.42,36.85,117.83, 
93.79,189.02,58.61,28.88,1.09,75.07,5.34,2.78,285.41,49.5,101268.14,36.83,118, 
93.47,184.43,56.16,28.67,1.04,72.04,5.8,2.83,284.78,51.04,100476.16,36.81,118.17, 
90.28,172.54,49.55,27.3,0.97,67.99,5.51,1.83,284.73,51.28,100287.26,36.8,118.34, 
84.94,147.67,42.47,26.01,0.88,62.28,3.9,1.21,284.45,53.35,100739.36,36.78,118.51, 
78.63,122.46,36.88,24,0.79,57.8,3.24,2.07,283.81,56.35,101034.38,36.76,118.68, 
71.65,95.78,31.22,23.13,0.68,53.93,3.27,2.21,283.37,58.23,101059.44,36.74,118.84, 
68.85,88.51,32.33,24.75,0.63,49.6,2.77,3.21,282.69,61.68,101025.19,36.73,119.01, 
66.73,84.53,32.65,26.49,0.6,47.82,2.14,3.3,281.98,65.7,101005.84,36.71,119.18, 
64.05,80.82,28.16,25,0.58,52.6,1.62,3.38,281.4,68.62,101145.95,36.69,119.35, 
61.62,78.26,25.94,23.78,0.58,58.02,1.26,3.71,281.07,70.7,101438.79,36.67,119.51, 
57.56,72.23,23.01,21.55,0.56,62.64,0.83,3.92,280.99,71.62,101639.89,36.65,119.68, 
54.06,71.28,24.53,23.19,0.57,64.41,0.4,4.41,280.73,74.28,101650.73,36.63,119.85, 
51.55,71.38,24.98,23.81,0.58,66.5,0.27,4.84,280.38,77.38,101591.39,36.62,120.02, 
50.52,75.49,28.6,26.7,0.61,69,0.32,5.8,280.16,81.11,101516.05,36.6,120.18, 
52.19,90.27,37.45,32.87,0.69,71.42,0.75,6.6,280.04,82.68,101343.38,36.58,120.35, 
49.66,87.52,35.15,31.45,0.66,73.05,1.11,6.08,280.18,80.14,101294.11,36.56,120.52, 
38.84,58.17,16.81,17.16,0.47,71.75,0.76,6.08,280.45,80.61,101488.9,36.54,120.69, 
33.46,49.65,10.7,11.29,0.38,78.37,0.49,6.94,280.33,87.22,101675.78,36.52,120.85, 
2.87,2.99,0.35,0.76,0.12,96.19,0.97,1.48,257.6,74.56,53162.57,34.86,78.29, 
2.82,2.94,0.35,0.68,0.12,95.97,4.81,1.06,255.49,80.3,50995.11,34.9,78.45, 
2.8,2.93,0.34,0.65,0.12,95.39,7.07,0.64,256.26,76.25,51549.43,34.93,78.61, 
2.79,2.92,0.34,0.63,0.12,94.57,6.37,-0.04,255.74,76.24,51699.93,34.97,78.77, 
2.76,2.89,0.34,0.59,0.12,93.93,7.34,-1.33,255.1,77.46,50835.6,35,78.93, 
2.74,2.87,0.33,0.56,0.12,93.81,9.66,-1.08,257.08,66.2,51622.37,35.03,79.09, 
2.73,2.86,0.33,0.56,0.12,93.2,9.3,0.01,259.45,56.41,53152.02,35.06,79.25, 
2.78,2.91,0.33,0.58,0.12,91.92,7.17,0.78,259.6,56.8,53941.43,35.1,79.41, 
2.87,3.01,0.35,0.67,0.12,91.28,5.43,1.38,259.66,62.15,54948.41,35.13,79.57, 
2.93,3.08,0.35,0.67,0.12,90.85,5.95,0.94,259.29,60.2,55715.44,35.16,79.74, 
2.58,3.05,0.32,0.39,0.12,101.77,4.59,-0.8,263.27,74.48,55793.4,35.19,79.9, 
2.95,3.21,0.32,0.48,0.12,92.63,1.28,-0.76,259.74,72.32,55204.47,35.22,80.06, 
2.9,3.08,0.3,0.43,0.12,92.9,0.11,-0.88,258.81,71.23,54358.3,35.26,80.22, 
2.65,2.81,0.28,0.34,0.12,92.9,0.08,-1.15,257.21,74.3,52418.49,35.29,80.38, 
2.41,2.55,0.25,0.28,0.12,91.46,2.55,-1,253.88,83.7,48892.79,35.32,80.55, 
2.32,2.45,0.25,0.26,0.12,89.26,6.29,-0.59,251.76,85.43,46761.01,35.35,80.71, 
2.26,2.38,0.25,0.25,0.12,88.12,8.86,0.1,252.09,77.28,46679.98,35.38,80.87, 
2.21,2.33,0.24,0.24,0.12,88.02,9.79,1.02,253.43,68.74,47374.36,35.41,81.03, 
2.19,2.3,0.25,0.23,0.12,87.65,9.72,1.62,255.1,61.41,48463.22,35.44,81.2, 
2.18,2.3,0.25,0.23,0.12,87.1,9.33,1.99,256.76,56.52,49714.34,35.47,81.36, 
2.16,2.28,0.24,0.23,0.12,87.96,8.69,2.09,258.64,52.1,51174.7,35.5,81.52, 
2.15,2.26,0.23,0.22,0.12,88.05,7.87,1.85,259.26,53.3,51801.29,35.53,81.68, 
2.12,2.23,0.22,0.21,0.12,88.41,7.63,1.45,259.14,56.96,51811.79,35.56,81.85, 
2.08,2.19,0.21,0.21,0.12,88.71,6.86,2.23,259.6,58.14,52480.29,35.59,82.01, 
2.07,2.18,0.22,0.19,0.12,87.59,6.13,2.58,257.75,67.55,51114.91,35.62,82.17, 
2.07,2.18,0.21,0.18,0.12,86.93,7.52,1.07,256.1,73.32,49305.11,35.65,82.34, 
2.05,2.16,0.21,0.18,0.12,85.83,8.26,-0.24,259.08,61.99,51242.32,35.68,82.5, 
2.02,2.12,0.19,0.18,0.12,86.74,6.49,-0.74,261.39,56.74,53274.89,35.7,82.66, 
2.16,2.27,0.19,0.17,0.12,87.79,4.85,-0.05,261.02,62.17,53568.48,35.73,82.83, 
2.16,2.26,0.18,0.17,0.12,88.55,4.2,0.9,260.81,67.02,53763.41,35.76,82.99, 
2.21,2.32,0.18,0.16,0.12,87.6,3.82,0.72,260.69,69.68,53883.66,35.79,83.16, 
2.3,2.4,0.17,0.16,0.12,88.61,3.4,-0.24,261.18,65.72,54179.77,35.82,83.32, 
2.29,2.39,0.17,0.15,0.12,89.27,2.72,-0.4,261.84,59.93,54392.87,35.84,83.48, 
2.25,2.35,0.16,0.14,0.12,90.57,2.1,0.05,262.2,55.06,54409.13,35.87,83.65, 
2.17,2.25,0.15,0.14,0.12,91.62,1.97,0.35,262.43,49.19,54065.96,35.9,83.81, 
2.09,2.18,0.14,0.13,0.12,92.55,2.52,0.18,262.67,44.61,53939.12,35.92,83.98, 
2.06,2.15,0.14,0.13,0.12,93.55,2.95,0.22,263.08,40.97,54244.76,35.95,84.14, 
1.96,2.04,0.14,0.13,0.12,94.28,2.93,0.94,263.37,37.62,54301.15,35.98,84.31, 
1.8,1.88,0.13,0.13,0.12,94.31,2.69,1.61,263.71,33.5,54238.15,36,84.47, 
1.76,1.84,0.13,0.13,0.12,94.49,2.21,1.53,263.97,31.88,54372.26,36.03,84.64, 
1.76,1.84,0.13,0.13,0.12,94.26,1.62,1.08,263.86,31.86,54403.83,36.05,84.8, 
1.76,1.83,0.13,0.12,0.12,92.48,0.94,0.92,263.68,32.25,54432.01,36.08,84.97, 
1.7,1.78,0.12,0.12,0.12,94.69,-0.05,1.05,263.29,35.35,54479.69,36.11,85.13, 
1.72,1.79,0.12,0.12,0.12,93.58,-1.09,0.72,262.75,38.03,54359.56,36.13,85.3, 
1.75,1.82,0.12,0.12,0.12,89.64,-1.54,0.43,262,41.66,54153.64,36.16,85.46, 
1.77,1.84,0.12,0.12,0.12,88.93,-1.1,0.34,261.51,42.43,53906.89,36.18,85.63, 
1.78,1.85,0.12,0.11,0.12,89.46,-0.5,0.33,261.4,43.24,53807.89,36.21,85.79, 
1.72,1.79,0.11,0.11,0.12,90.07,1.1,1,262.24,37.69,54032.69,36.23,85.96, 
1.79,1.86,0.12,0.09,0.12,95.67,0.34,1.84,265.51,45.42,54188.56,36.25,86.12, 
1.7,1.76,0.11,0.1,0.12,85.51,-1.89,1.7,262.34,35.26,54087.31,36.28,86.29, 
1.63,1.7,0.1,0.1,0.12,86.69,-1.41,1.78,263.13,36.58,53981.18,36.3,86.46, 
1.63,1.69,0.11,0.09,0.12,86.85,-0.53,1.55,263.15,33.24,53682.54,36.32,86.62, 
1.67,1.73,0.11,0.09,0.12,85.64,-0.19,1.38,263.18,32.2,53508.5,36.35,86.79, 
1.71,1.77,0.11,0.09,0.12,86.41,-0.37,1.17,263.47,29.18,53363.37,36.37,86.95, 
1.8,1.87,0.12,0.09,0.12,87.47,-0.51,1.04,262.48,28.73,52408.28,36.39,87.12, 
1.89,1.95,0.12,0.08,0.12,87.96,-0.12,0.64,260.85,30.85,51219.18,36.42,87.29, 
1.94,2,0.12,0.09,0.12,87.86,0.2,0.45,261.01,30.66,51463.92,36.44,87.45, 
1.93,1.99,0.12,0.09,0.12,86.53,-0.29,1.08,263.22,29.07,53452.55,36.46,87.62, 
1.88,1.95,0.12,0.09,0.12,84.61,-0.79,1.76,264.86,28.6,54991.79,36.48,87.79, 
1.88,1.94,0.12,0.09,0.12,83.77,-1.12,2.1,264.98,28.1,54980.27,36.5,87.95, 
1.9,1.96,0.12,0.09,0.12,83.5,-1.13,1.93,264.57,28.26,54536.61,36.53,88.12, 
1.92,1.99,0.13,0.09,0.12,83.29,-0.58,1.62,264.31,27.67,54308.84,36.55,88.29, 
1.89,1.96,0.13,0.09,0.12,80.75,-1.07,1.98,264.65,27.69,54598.05,36.57,88.45, 
1.94,2.01,0.13,0.09,0.12,79.74,-1.59,2.31,265.39,29.54,55487.05,36.59,88.62, 
2,2.07,0.13,0.09,0.12,79.98,-0.9,2.06,266.37,27.91,56338.47,36.61,88.79, 
2.11,2.18,0.14,0.09,0.12,80.68,-1.09,1.91,266.77,27.71,56674.97,36.63,88.95, 
2.23,2.3,0.14,0.09,0.12,81.54,-1.85,1.87,266.18,31.97,56136.33,36.65,89.12, 
2.33,2.4,0.14,0.09,0.12,82.57,-2.25,2.2,265.5,35.84,55762.99,36.67,89.29, 
2.22,2.29,0.14,0.09,0.12,78.57,-1.62,2.69,266.38,31.64,56575.21,36.69,89.46, 
2.26,2.33,0.14,0.1,0.12,78.35,-1.3,2.79,267.85,29.59,57735.34,36.71,89.62, 
2.3,2.38,0.14,0.1,0.12,79.48,-1.67,3.44,268.22,30.21,58138.64,36.73,89.79, 
2.34,2.41,0.15,0.1,0.12,80.22,-1.38,3.53,267.6,32.35,57704.94,36.75,89.96, 
2.4,2.47,0.15,0.1,0.12,83.18,-0.94,3.19,268.27,30.65,58313.8,36.77,90.13, 
2.48,2.56,0.16,0.1,0.12,84.97,-0.55,3.45,269.54,26.16,59403.78,36.79,90.29, 
2.61,2.68,0.16,0.1,0.12,87.12,-0.84,3.05,268.91,24.77,58904.82,36.81,90.46, 
2.86,2.93,0.17,0.11,0.12,87.87,-1.52,2.48,268.1,24.1,58170.68,36.82,90.63, 
2.97,3.05,0.17,0.11,0.12,86.69,-2.37,2.26,268.62,23.39,58807.42,36.84,90.8, 
3.32,3.41,0.18,0.11,0.13,86.42,-3.14,1.93,269.71,22.57,60297.07,36.86,90.97, 
3.82,3.92,0.2,0.11,0.13,85.66,-3.2,1.06,270.26,22.46,61285.17,36.88,91.13, 
4.33,4.42,0.21,0.11,0.13,86.23,-2.62,1.07,269.85,23.64,61137.13,36.9,91.3, 
4.84,4.93,0.22,0.11,0.13,86.33,-1.67,1.06,269.07,24.82,60537.28,36.91,91.47, 
5.3,5.4,0.22,0.11,0.13,85.8,-1.38,1.31,268.53,25.44,60031.39,36.93,91.64, 
5.87,5.97,0.23,0.1,0.13,84.51,-1.98,1.77,268.91,24.7,60347.57,36.95,91.81, 
6.59,6.69,0.24,0.1,0.13,84.97,-2.58,1.89,270.73,22.29,62081.81,36.96,91.98, 
7.13,7.23,0.25,0.1,0.13,84.42,-2.79,1.95,273.13,20,64626.83,36.98,92.15, 
7.56,7.67,0.26,0.11,0.13,84.4,-2.65,2.01,275.56,18.02,67412.89,37,92.31, 
7.93,8.03,0.27,0.14,0.13,84.34,-2.27,1.87,277.22,16.9,69446.33,37.01,92.48, 
8.23,8.34,0.28,0.18,0.13,83.73,-1.67,1.42,278.02,16.73,70641.25,37.03,92.65, 
8.75,8.88,0.3,0.19,0.13,83.08,-1.14,0.67,278.59,16.8,71642.2,37.04,92.82, 
9.42,9.55,0.32,0.19,0.13,82.29,-1.1,0.22,278.88,17.06,72164.59,37.06,92.99, 
10.74,10.87,0.33,0.16,0.13,81.56,-1,-0.26,278.83,17.66,72417.48,37.07,93.16, 
6.56,6.69,0.35,0.15,0.13,79.84,-0.46,-0.52,278.76,18.1,72692.16,37.09,93.33, 
6.81,6.94,0.36,0.14,0.13,79.12,-0.13,-0.94,278.91,18.28,72998.96,37.1,93.5, 
7.09,7.22,0.37,0.14,0.13,80.69,0.13,-1.6,278.98,18.28,73294.67,37.12,93.67, 
7.14,7.27,0.38,0.14,0.13,80.97,0.49,-1.94,279.1,18.31,73455.83,37.13,93.83, 
6.92,7.04,0.38,0.13,0.13,81.5,0.78,-1.93,279.18,18.17,73532.98,37.15,94, 
6.59,6.72,0.37,0.13,0.13,82.18,1.07,-1.9,279.21,17.86,73564.2,37.16,94.17, 
6.25,6.37,0.37,0.13,0.13,82.66,1.16,-1.91,279.2,17.58,73591.71,37.17,94.34, 
5.84,5.97,0.36,0.14,0.13,82.72,0.99,-1.9,279.14,17.41,73675.67,37.19,94.51, 
5.35,5.47,0.36,0.16,0.13,82.44,0.66,-1.81,279.22,16.94,73730.7,37.2,94.68, 
4.83,4.96,0.37,0.21,0.13,81.78,0.41,-1.87,279.46,16.05,73549.34,37.21,94.85, 
4.59,4.73,0.38,0.24,0.13,80.84,0.18,-2.21,279.61,15.37,73200.88,37.23,95.02, 
4.44,4.58,0.4,0.3,0.14,79.47,-0.09,-2.61,279.18,15.81,72535.38,37.24,95.19, 
4.35,4.5,0.44,0.36,0.14,78.2,-0.1,-2.54,278.2,17.08,71571.81,37.25,95.36, 
4.3,4.44,0.47,0.33,0.14,77.66,0.04,-2.09,277.48,17.92,70762.12,37.26,95.53, 
4.19,4.33,0.52,0.31,0.14,77.27,0.03,-1.74,276.73,19.16,69906.52,37.28,95.7, 
4.01,4.16,0.58,0.3,0.14,77.16,0.06,-1.59,275.64,20.74,68725.74,37.29,95.87, 
3.86,4.01,0.69,0.32,0.14,76.88,0.17,-1.76,274.39,22.74,67445.59,37.3,96.04, 
3.85,4.02,0.81,0.34,0.14,76.68,0.6,-2.09,273.22,24.85,66335.27,37.31,96.21, 
3.94,4.11,0.89,0.37,0.14,75.54,1.58,-2.12,273,25.96,66098.24,37.32,96.38, 
4.24,4.43,1.04,0.46,0.14,76.18,2.25,-1.85,275.16,24.02,68204.5,37.33,96.55, 
4.53,4.75,1.28,0.6,0.14,75.98,1.58,-1.31,278.14,21.15,71251.12,37.34,96.72, 
4.72,4.99,1.76,0.95,0.14,75.6,-0.02,-1.03,278.92,20.49,71806.44,37.35,96.89, 
4.95,5.29,2.26,1.32,0.14,75.12,-1.04,-1.16,277.51,22.76,70228.03,37.36,97.06, 
5.28,5.73,3.21,1.99,0.14,72.57,-1.38,-0.93,276.18,26.26,69094.95,37.37,97.23, 
5.26,5.7,3.06,1.88,0.14,72.44,-1.47,-0.29,275.1,29.61,68323.64,37.38,97.4, 
4.77,5.03,1.37,0.75,0.14,73.27,-1.23,0.7,273.84,33,67203.23,37.39,97.57, 
4.68,4.91,1.01,0.52,0.14,74.15,-1.19,0.77,273.65,34.08,67037.79,37.4,97.74, 
4.79,5.01,0.91,0.45,0.14,75.93,-1.18,0.33,272.45,36.9,65836.43,37.41,97.91, 
4.83,5.05,0.86,0.43,0.14,76.09,-0.35,0.25,269.67,44.56,63350.11,37.42,98.08, 
5.21,5.45,0.85,0.46,0.14,75.65,0.8,0.41,268.74,48.7,62617.57,37.43,98.25, 
5.79,6.04,0.87,0.5,0.14,75.94,1.39,1.01,269.17,48.79,63047.39,37.44,98.42, 
6.45,6.73,0.9,0.56,0.14,76.58,1.11,1.72,269.77,48.31,63669.28,37.45,98.59, 
5.93,6.24,0.94,0.66,0.14,77.39,0.45,1.45,269.78,51.69,64079.98,37.45,98.76, 
5.81,6.18,1.03,0.8,0.14,79.38,0.19,0.33,269.79,55.44,64464.47,37.46,98.93, 
5.91,6.37,1.19,0.99,0.15,80.87,0.19,-0.21,270.08,56.74,64891.26,37.47,99.1, 
5.07,5.36,0.92,0.42,0.14,82.89,0.14,0.06,269.68,58.22,64497.23,37.48,99.27, 
4.99,5.28,0.94,0.38,0.14,82.83,-0.18,0.27,269.09,59.64,63886.38,37.48,99.44, 
5.04,5.33,0.96,0.38,0.14,84.36,-0.5,0.12,268.61,62.2,63591.68,37.49,99.62, 
5.19,5.5,1.02,0.42,0.15,84.34,-0.67,-0.35,268.52,65.49,63795.04,37.5,99.79, 
5.43,5.76,1.09,0.48,0.15,83.87,-0.84,-0.51,269.26,66.59,64872.31,37.51,99.96, 
5.77,6.13,1.17,0.57,0.15,82.98,-0.88,-0.49,269.76,67,65506.2,37.51,100.13, 
6.13,6.49,1.22,0.66,0.15,82.82,-0.78,-0.32,269.48,68.88,65233.16,37.52,100.3, 
6.64,7.02,1.3,0.72,0.15,83.09,-0.59,0.21,269.36,69.98,65145.39,37.52,100.47, 
7.02,7.4,1.37,0.76,0.15,83.83,-0.24,0.55,269.54,68.05,65287.59,37.53,100.64, 
7.55,7.95,1.45,0.81,0.15,82.93,0.14,0.61,269.36,65.21,64934.76,37.53,100.81, 
8.32,8.78,1.58,1,0.15,83.19,-0.54,0.22,268.68,69.7,64644.41,37.54,100.98, 
10.11,10.7,1.96,1.32,0.16,80.86,-1.14,0.64,269.73,69.42,66340.03,37.54,101.15, 
11.79,12.52,2.26,1.63,0.17,78.85,-0.97,0.71,271.12,65.11,67981.36,37.55,101.32, 
12.32,15.41,2.9,2.21,0.21,78.05,-1.11,0.68,269.44,69.79,66310.41,37.55,101.49, 
13.26,20.44,3.73,2.91,0.3,77.6,-0.71,0.84,266.97,80.64,64255.55,37.56,101.66, 
13.01,21.15,3.6,3.02,0.31,79.56,0.3,1.31,266.42,84.17,63832.29,37.56,101.84, 
12.94,22.23,3.34,2.83,0.34,79.37,1.43,1.63,265.73,83.11,62850.7,37.57,102.01, 
13.5,21.27,3.12,2.43,0.31,75.03,1.19,0.7,264.98,86.39,62251.23,37.57,102.18, 
16,22.91,3.16,2.62,0.3,71.95,-0.55,-0.17,267.33,84.4,65656.61,37.57,102.35, 
23.23,29.27,3.81,3.1,0.31,65.41,-0.83,-0.43,273.04,62.7,72503.12,37.58,102.52, 
33.03,39.34,5.29,4.35,0.36,58.11,-0.13,-1.45,277.25,46.86,78072.33,37.58,102.69, 
35.84,41.49,5.77,4.91,0.33,56.1,0.07,-1.16,279.2,41.05,80704.91,37.58,102.86, 
35.07,39.42,5.26,4.32,0.28,56.08,-0.56,-0.21,280.08,37.34,81422.2,37.59,103.03, 
34.32,37.53,4.9,3.74,0.23,54.76,-1.64,0.98,280.18,34.87,81496.46,37.59,103.2, 
33.21,35.48,4.84,3.32,0.21,53.7,-2.6,1,280.53,32.03,82173.76,37.59,103.37, 
31.98,33.68,5.14,3.24,0.19,53.09,-3.88,1.82,280.51,30.14,82593.41,37.59,103.55, 
31.58,32.89,5.7,3.34,0.18,52.6,-4.45,2.33,279.74,29.41,82554.8,37.59,103.72, 
32.23,33.28,6.42,3.56,0.18,52.76,-4.24,1.65,279.79,27.66,83404.98,37.6,103.89, 
33.06,34.23,7.12,3.92,0.18,52.34,-4.73,0.24,280.06,25.97,84038.26,37.6,104.06, 
33.71,35.37,7.88,4.57,0.18,52.16,-5.42,-0.66,279.36,25.69,83616.37,37.6,104.23, 
33.99,36.54,9.01,5.66,0.19,51.97,-5.22,-1.14,279.19,25.23,83925.88,37.6,104.4, 
34.47,38.3,10.4,7.05,0.2,51.93,-4.83,-1.56,279.65,24.05,84790.89,37.6,104.57, 
34.59,40.63,12.36,8.72,0.21,51.83,-4.5,-1.75,280.13,23.04,85606.22,37.6,104.74, 
34.46,45.81,16.04,11.74,0.24,51.59,-4.21,-1.79,281.23,21.64,86959.21,37.6,104.91, 
34.47,58.44,22.46,16.77,0.29,50.63,-4.24,-1.45,282.11,20.66,87948.26,37.6,105.09, 
33.03,68.23,23.27,19.48,0.32,51.27,-4.66,-1.38,282.11,19.62,87997.28,37.6,105.26, 
33.34,84.9,25.49,22.43,0.37,51.62,-5.04,-2.42,281.52,19.11,87624.06,37.6,105.43, 
33.78,104.83,27.11,24.67,0.42,53.77,-4.65,-3.62,281.36,18.82,87629.05,37.6,105.6, 
33.2,119.65,24.56,22.66,0.45,58.01,-3.93,-4.23,281.93,18.3,88442.85,37.6,105.77, 
32.52,128.35,23.21,20.46,0.47,59.59,-3.65,-4.47,281.62,18.87,88164.77,37.6,105.94, 
29.75,116.99,19.54,16.37,0.43,61.54,-3.23,-4.27,281.01,19.3,87450.55,37.6,106.11, 
25.78,83.9,13.14,11.85,0.34,62.46,-2.41,-3.83,281.27,18.9,87827.05,37.59,106.28, 
23.89,66.21,9.96,8.78,0.29,62.56,-2.01,-3.73,281.02,19.44,87494.17,37.59,106.45, 
22.38,50.13,7.57,6.12,0.26,62.8,-2.26,-3.88,280.44,19.95,86819.84,37.59,106.63, 
21.9,42.34,6.79,4.32,0.23,63.56,-2.25,-4.02,280.04,20.31,86441.08,37.59,106.8, 
22.59,35.79,4.66,3.13,0.21,63.59,-1.98,-4.16,279.29,21.38,85554.35,37.59,106.97, 
25.64,33.56,3,2.48,0.2,62.19,-2.3,-4.19,278.77,22.55,85292.05,37.58,107.14, 
30.93,37.15,3.62,2.81,0.2,62.02,-2.46,-4.63,279.06,22.44,86111.59,37.58,107.31, 
34.53,39.95,5.88,3.72,0.21,61.25,-1.95,-5.05,279.08,22.37,86495.67,37.58,107.48, 
34,38.43,7.78,4.37,0.21,60.38,-1.39,-5.06,278.69,23.06,86207.7,37.57,107.65, 
31.87,33.75,3.31,2.27,0.19,62.8,-0.97,-5.04,278.42,23.15,85878.36,37.57,107.82, 
33.13,34.58,3.19,2.19,0.19,61.69,-0.71,-5.34,278.19,24.24,85899.75,37.57,107.99, 
33.38,34.63,3.47,2.24,0.19,62.56,-0.54,-5.34,278.41,23.85,86230.79,37.56,108.16, 
34.13,35.07,4.41,2.56,0.19,62.48,-0.67,-5.43,278.5,24.33,86466.71,37.56,108.34, 
31.77,32.72,4.75,2.73,0.19,62.14,-0.68,-6.05,278.02,25.18,86211.16,37.55,108.51, 
29.31,30.49,7.76,4.05,0.2,60.29,0.11,-7.02,277.16,26.65,85533.52,37.55,108.68, 
29.03,30.38,10.64,5.17,0.2,60.54,0.72,-7.14,277.49,26.56,85921.43,37.54,108.85, 
26.49,27.44,6.65,3.48,0.19,62.46,0.77,-7.43,278.23,25.95,86900.34,37.54,109.02, 
24.97,25.63,3.98,2.4,0.19,63.06,0.98,-7.89,278.29,26.16,87163.5,37.53,109.19, 
24.63,25.26,3.87,2.48,0.19,61.89,1.22,-8.37,278.62,26.31,87724.55,37.53,109.36, 
24.76,25.46,4.69,3.05,0.19,61.68,1.15,-8.03,279.4,26.27,88641.78,37.52,109.53, 
25.84,26.69,5.91,3.88,0.2,60.57,1.39,-8.16,279.84,26.93,89227.2,37.52,109.7, 
26.09,27.12,7.3,4.92,0.2,59.44,1.54,-7.83,280.32,26.91,89695.45,37.51,109.87, 
26.47,27.71,9.27,6.62,0.21,57.38,1.27,-7.55,280.89,26.87,90414.09,37.51,110.04, 
26.49,27.83,10.72,7.33,0.22,56.64,1.33,-7.32,281.27,27.31,91039.22,37.5,110.21, 
25.75,28.11,11.23,7.24,0.22,57.05,1.49,-7.57,280.61,29.03,90273.24,37.49,110.38, 
25.82,29.5,11.26,7.16,0.25,57.84,1.44,-7.39,280.46,30.44,90153.52,37.48,110.56, 
26.8,33.76,15.51,8.64,0.31,57.24,1.67,-6.83,281.66,29.97,91701.77,37.48,110.73, 
26.45,38.92,18.05,9.94,0.41,56.71,2.18,-6.55,281.43,31.29,91348.23,37.47,110.9, 
26.88,42.06,17.16,10.01,0.48,58.2,3.07,-6.51,279.97,34.12,89392.3,37.46,111.07, 
23.32,37.65,12.87,7.98,0.45,61.02,4.41,-6.22,278.9,36.42,87823.25,37.45,111.24, 
22.07,36.44,10.71,6.94,0.45,62.74,5.16,-5.87,277.5,39.7,85453.75,37.45,111.41, 
19.54,33.18,9.99,6.58,0.46,65.47,4.52,-6.12,276.99,38.92,83578.4,37.44,111.58, 
20.28,41.69,11.64,8.46,0.67,61.59,3.66,-6.74,278.99,34.62,85651.85,37.43,111.75, 
20.87,48.91,13.41,10.15,0.87,59.93,3.15,-6,282.33,30.45,90117.75,37.42,111.92, 
23.6,66.6,17.38,13.83,1.26,55.87,2.32,-4.73,284.31,28.58,93033.27,37.41,112.09, 
26.68,82.98,20.72,16.04,1.51,53.45,1.27,-3.87,284.66,28.95,93596.03,37.4,112.26, 
29.22,92.21,24.59,16.7,1.54,53.88,0.8,-3.61,283.7,32.32,92608.47,37.39,112.43, 
32.84,97.79,29.86,16.59,1.39,55.13,1.68,-4.3,282.14,35.89,90859.2,37.38,112.6, 
33.05,80.79,22.26,11.56,0.91,59.93,2.73,-5.97,280.33,40.04,88759.28,37.37,112.77, 
